i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
53,S0,53,163,37,bonus_bs15_gae3_no,4938,53,93.2,80,49.38,-3.62,-362.0,698.0,207,363,93,37,93.2,81.5,212.6,-712.5,-97.0,819.1,341.7,192.0,127.0,-40.2,-28.5,-40,16,-159.6,-766.1,-288.7,-139.0,-74.0
54,S0,245,53,37,bonus_bs15_gae3_no,4991,54,92.4,77.0,49.91,-4.09,-409.0,833.0,216,260,84,140,92.4,117.7,227.4,-766.1,-139.0,872.7,359.4,234.0,140.9,152.6,127.3,161,105,17.6,-627.7,-114.4,11.0,104.1
55,S0,69,245,37,bonus_bs15_gae3_no,5236,55,95.2,80,52.36,-2.64,-264.0,836.0,298,461,2,-61,95.2,54.5,182.3,-627.7,11.0,734.4,313.8,84.0,91.4,-26.2,14.5,67,130,-113.3,-665.4,-244.8,-15.0,-22.4
56,S0,65,69,37,bonus_bs15_gae3_no,5305,56,94.7,77.0,53.05,-2.95,-295.0,993.0,314,367,-14,33,94.7,112.4,192.1,-665.4,-15.0,772.0,326.2,110.0,99.9,-29.7,-47.4,79,32,-127.1,-707.0,-261.2,-45.0,-34.9
57,S0,5,65,37,bonus_bs15_gae3_no,5370,57,94.2,74,53.7,-3.3,-330.0,1152.0,134,379,166,21,94.2,113.7,203.1,-707.0,-45.0,813.6,339.9,140.0,109.8,-89.2,-108.7,-161,-16,-198.1,-808.6,-334.9,-135.0,-104.8
58,S0,89,5,37,bonus_bs15_gae3_no,5375,58,92.7,73.5,53.75,-4.25,-425.0,1112.0,70,139,230,261,92.7,133.5,232.9,-808.6,-135.0,915.2,373.4,230.0,139.5,-3.7,-44.5,-141,-172,-143.9,-826.2,-284.4,-141.0,-50.5
59,S0,184,89,37,bonus_bs15_gae3_no,5464,59,92.6,74,54.64,-4.36,-436.0,1098.0,94,159,206,241,92.6,105.8,236.5,-826.2,-141.0,932.8,379.3,236.0,141.5,91.4,78.2,-22,-57,-52.5,-748.8,-195.3,-52.0,42.5
60,S0,114,184,37,bonus_bs15_gae3_no,5648,60,94.1,77.0,56.48,-3.52,-352.0,1028.0,273,278,27,122,94.1,74.6,210.3,-748.8,-52.0,855.4,353.7,147.0,112.2,19.9,39.4,87,-8,-96.3,-741.4,-239.7,-33.0,1.8
61,S0,37,114,37,bonus_bs15_gae3_no,5762,61,94.5,80,57.62,-3.38,-338.0,882.0,298,387,2,13,94.5,97.6,206.0,-741.4,-33.0,848.0,351.3,128.0,105.9,-57.5,-60.6,35,24,-169.0,-811.0,-314.3,-91.0,-68.9
62,S0,113,37,37,bonus_bs15_gae3_no,5799,62,93.5,77.0,57.99,-4.01,-401.0,1025.0,151,335,149,65,93.5,122.9,225.9,-811.0,-91.0,917.6,374.3,186.0,125.0,19.5,-9.9,-36,48,-112.9,-804.6,-261.3,-73.0,-12.0
63,S0,227,113,37,bonus_bs15_gae3_no,5912,63,93.8,80,59.12,-3.88,-388.0,872.0,150,264,150,136,93.8,97.9,221.9,-804.6,-73.0,911.3,372.1,168.0,119.1,133.2,129.1,77,91,5.1,-684.3,-145.1,59.0,107.9
64,S0,101,227,37,bonus_bs15_gae3_no,6139,64,95.9,81.0,61.39,-2.61,-261.0,955.0,340,377,-40,23,95.9,60.4,182.1,-684.3,59.0,790.9,332.4,36.0,75.5,5.1,40.6,141,78,-81.1,-689.9,-231.4,65.0,25.5
65,S0,233,101,37,bonus_bs15_gae3_no,6240,65,96.0,82,62.4,-2.6,-260.0,910.0,328,441,-28,-41,96.0,101.9,181.8,-689.9,65.0,796.5,334.3,30.0,73.5,137.0,131.1,261,274,51.2,-563.5,-101.3,203.0,159.5
66,S0,49,233,37,bonus_bs15_gae3_no,6473,66,98.1,84.5,64.73,-1.27,-127.0,896.0,334,561,-34,-161,98.1,58.4,140.0,-563.5,203.0,670.1,292.6,-108.0,28.0,-49.1,-9.4,83,210,-91.0,-621.1,-243.6,157.0,21.0
67,S0,136,49,37,bonus_bs15_gae3_no,6522,67,97.3,82,65.22,-1.78,-178.0,1028.0,282,383,18,17,97.3,119.0,156.1,-621.1,157.0,727.7,311.6,-62.0,43.2,38.7,17.0,118,119,-20.1,-591.7,-175.6,198.0,92.8
68,S0,150,136,37,bonus_bs15_gae3_no,6658,68,97.9,84.5,66.58,-1.42,-142.0,912.0,185,418,115,-18,97.9,90.4,144.8,-591.7,198.0,698.3,301.9,-103.0,29.7,52.1,59.6,35,168,5.2,-548.3,-151.9,253.0,120.3
69,S0,163,150,41,,6808,69,98.7,87,68.08,-0.92,-92.0,805.0,286,335,14,65,98.7,85.8,129.0,-548.3,253.0,654.9,287.6,-158.0,11.5,64.3,77.2,149,98,34.0,-491.9,-124.6,321.0,151.5
70,S0,28,163,42,,6971,70,99.6,88.0,69.71,-0.29,-29.0,811.0,313,449,-13,-49,99.6,81.5,109.2,-491.9,321.0,598.6,269.0,-226.0,-10.9,-71.6,-53.5,41,77,-81.2,-570.6,-241.0,254.0,38.9
71,S0,163,28,42,,6999,71,98.6,87,69.99,-1.01,-101.0,822.0,191,341,109,59,98.6,125.9,131.9,-570.6,254.0,677.2,294.9,-159.0,11.2,64.4,37.1,54,104,31.1,-514.2,-131.9,322.0,151.8
72,S0,66,163,42,,7162,72,99.5,88.0,71.62,-0.38,-38.0,826.0,191,354,109,46,99.5,81.5,112.0,-514.2,322.0,620.8,276.3,-227.0,-11.3,-33.5,-15.5,-43,20,-46.0,-554.8,-210.3,293.0,77.3
73,S0,133,66,42,,7228,73,99.0,87,72.28,-0.72,-72.0,877.0,229,257,71,143,99.0,113.4,122.8,-554.8,293.0,661.4,289.7,-198.0,-1.7,34.0,19.6,62,-10,10.2,-528.4,-156.7,331.0,134.7
74,S0,56,133,42,,7361,74,99.5,88.0,73.61,-0.39,-39.0,849.0,199,362,101,38,99.5,91.3,112.3,-528.4,331.0,635.0,281.0,-236.0,-14.2,-43.5,-35.3,-45,18,-56.3,-579.0,-225.0,292.0,70.2
75,S0,62,56,42,,7417,75,98.9,87,74.17,-0.83,-83.0,892.0,189,255,111,145,98.9,116.7,126.3,-579.0,292.0,685.6,297.7,-197.0,-1.4,-36.9,-54.7,-49,-83,-64.3,-623.6,-235.7,259.0,63.4
76,S0,114,62,42,,7479,76,98.4,84.5,74.79,-1.21,-121.0,1057.0,118,251,182,149,98.4,114.7,138.3,-623.6,259.0,730.2,312.4,-164.0,9.5,15.6,-0.7,-68,-35,-24.3,-616.2,-198.4,278.0,104.5
77,S0,105,114,42,,7593,77,98.6,87,75.93,-1.07,-107.0,894.0,176,232,124,168,98.6,97.6,133.9,-616.2,278.0,722.8,310.0,-183.0,3.3,6.4,7.4,-19,-63,-28.9,-617.8,-205.0,288.0,101.7
78,S0,28,105,42,,7698,78,98.7,88.0,76.98,-1.02,-102.0,834.0,219,281,81,119,98.7,100.6,132.4,-617.8,288.0,724.5,310.5,-193.0,-0.0,-70.7,-72.6,-53,-91,-104.4,-696.5,-282.5,221.0,28.0
79,S0,85,28,42,,7726,79,97.8,87,77.26,-1.74,-174.0,853.0,133,247,167,153,97.8,125.9,155.2,-696.5,221.0,803.1,336.4,-126.0,22.1,-12.8,-40.9,-82,-68,-70.2,-718.1,-251.4,211.0,62.9
80,S0,226,85,42,bonus_bs15_gae3_no,7811,80,97.6,86.0,78.11,-1.89,-189.0,931.0,113,218,187,182,97.6,107.1,160.0,-718.1,211.0,824.7,343.6,-116.0,25.4,128.4,118.9,39,44,66.0,-598.7,-117.6,342.0,200.6
81,S0,88,226,42,bonus_bs15_gae3_no,8037,81,99.2,87,80.37,-0.63,-63.0,990.0,311,339,-11,61,99.2,60.7,120.0,-598.7,342.0,705.3,304.2,-247.0,-17.9,-11.2,27.3,99,27,-32.0,-617.3,-216.2,335.0,105.9
82,S0,161,88,42,bonus_bs15_gae3_no,8125,82,99.1,87.5,81.25,-0.75,-75.0,950.0,314,399,-14,1,99.1,106.1,123.8,-617.3,335.0,723.9,310.3,-240.0,-15.6,61.9,54.9,175,160,37.2,-562.9,-149.3,401.0,176.6
83,S1,69,161,0,,8286,83,99.8,88,82.86,-0.14,-14.0,982.0,249,475,51,-75,99.8,82.1,104.5,-562.9,401.0,669.5,292.4,-306.0,-37.3,-30.8,-13.1,18,144,-35.5,-600.5,-223.4,375.0,106.3
84,S1,66,69,0,,8355,84,99.5,87.5,83.55,-0.45,-45.0,1005.0,230,318,70,82,99.5,112.4,114.3,-600.5,375.0,707.1,304.8,-280.0,-28.7,-33.5,-46.4,-4,-16,-48.3,-641.1,-238.8,346.0,94.7
85,S1,95,66,0,,8421,85,99.1,87,84.21,-0.79,-79.0,1026.0,135,296,165,104,99.1,113.4,125.1,-641.1,346.0,747.8,318.2,-251.0,-19.2,-4.1,-18.4,-70,-9,-30.1,-652.8,-223.2,346.0,114.2
86,S1,112,95,0,,8516,86,99.0,87.5,85.16,-0.84,-84.0,991.0,161,230,139,170,99.0,103.8,126.7,-652.8,346.0,759.4,322.0,-251.0,-19.2,13.0,8.2,-27,-58,-14.7,-647.4,-210.0,363.0,131.2
87,S1,146,112,12,bonus_as10_gae3_no,8628,87,99.2,88,86.28,-0.72,-72.0,972.0,207,273,93,127,99.2,98.3,122.9,-647.4,363.0,754.0,320.2,-268.0,-24.8,46.8,47.7,53,19,23.1,-608.0,-174.2,414.0,170.8
88,S1,107,146,12,bonus_as10_gae3_no,8774,88,99.7,88.5,87.74,-0.26,-26.0,986.0,258,353,42,47,99.7,87.1,108.3,-608.0,414.0,714.6,307.2,-319.0,-41.6,7.3,19.9,65,60,-1.3,-607.6,-200.2,426.0,148.6
89,S1,32,107,12,bonus_as10_gae3_no,8881,89,99.8,89,88.81,-0.19,-19.0,960.0,253,365,47,35,99.8,99.9,106.1,-607.6,426.0,714.2,307.1,-331.0,-45.6,-67.8,-67.9,-15,-3,-74.1,-682.2,-275.1,363.0,77.6
90,S1,166,32,13,bonus_as10_gae3_no,8913,90,99.0,88.5,89.13,-0.87,-87.0,948.0,139,285,161,115,99.0,124.6,127.7,-682.2,363.0,788.8,331.7,-268.0,-24.8,67.0,41.4,5,51,38.3,-622.8,-165.7,434.0,190.8
91,S1,49,166,16,bonus_as10_gae3_no,9079,91,99.8,89,90.79,-0.21,-21.0,980.0,198,305,102,95,99.8,80.5,106.7,-622.8,434.0,729.4,312.1,-339.0,-48.2,-50.8,-31.5,-53,-46,-57.7,-680.4,-263.1,388.0,97.2
92,S1,156,49,21,bonus_as10_gae3_no,9128,92,99.2,88.5,91.28,-0.72,-72.0,986.0,215,247,85,153,99.2,119.0,123.0,-680.4,388.0,787.1,331.2,-293.0,-33.0,56.8,37.0,71,3,33.0,-631.1,-175.2,449.0,189.0
93,S1,47,156,21,bonus_as10_gae3_no,9284,93,99.8,89,92.84,-0.16,-16.0,1007.0,205,371,95,29,99.8,83.8,105.1,-631.1,449.0,737.7,314.9,-354.0,-53.2,-52.8,-36.8,-48,18,-58.1,-690.7,-267.9,401.0,100.2
94,S1,70,47,21,bonus_as10_gae3_no,9331,94,99.3,88.5,93.31,-0.69,-69.0,1012.0,203,252,97,148,99.3,119.6,122.0,-690.7,401.0,797.3,334.5,-306.0,-37.3,-29.3,-49.6,-27,-78,-52.0,-727.3,-264.5,376.0,107.3
