i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
13,S0,78,127,70,,1211,13,93.2,120,12.11,-0.89,-89.0,-349.0,140,197,160,203,93.2,93.3,122.5,-107.9,-128.0,209.4,137.1,231.0,145.2,-15.2,-15.3,-82,-125,-44.5,-131.4,-59.1,-153.0,-67.2
14,S0,59,78,70,,1289,14,92.1,99.0,12.89,-1.11,-111.0,-97.0,205,218,95,182,92.1,109.4,128.7,-131.4,-153.0,232.9,144.8,256.0,153.5,-33.1,-50.4,-36,-123,-69.7,-173.9,-85.8,-197.0,-94.5
15,S0,153,59,70,,1348,15,89.9,78,13.48,-1.52,-152.0,178.0,137,264,163,136,89.9,115.7,140.0,-173.9,-197.0,275.3,158.8,300.0,168.0,63.1,37.3,-10,17,13.0,-122.3,-5.8,-147.0,-15.0
16,S0,90,153,70,bonus_bs15_gae3_no,1501,16,93.8,99.0,15.01,-0.99,-99.0,-83.0,212,290,88,110,93.8,84.8,126.5,-122.3,-147.0,223.8,141.8,250.0,151.5,-3.8,5.2,2,-20,-36.5,-133.8,-51.8,-160.0,-61.5
17,S0,154,90,70,bonus_bs15_gae3_no,1591,17,93.6,90,15.91,-1.09,-109.0,61.0,243,302,57,98,93.6,105.5,129.6,-133.8,-160.0,235.2,145.6,263.0,155.8,60.4,48.5,97,56,24.4,-81.2,8.4,-109.0,-1.8
18,S0,54,154,70,bonus_bs15_gae3_no,1745,18,96.9,105.0,17.45,-0.55,-55.0,-145.0,244,397,56,3,96.9,84.4,115.1,-81.2,-109.0,182.7,128.3,212.0,139.0,-42.9,-30.4,-2,51,-61.1,-128.7,-74.3,-158.0,-85.0
19,S0,133,54,70,bonus_bs15_gae3_no,1799,19,94.7,90,17.99,-1.01,-101.0,89.0,208,298,92,102,94.7,117.3,128.0,-128.7,-158.0,230.1,143.9,261.0,155.1,38.3,15.7,41,31,5.0,-97.1,-10.9,-128.0,-22.1
20,S0,90,133,70,bonus_bs15_gae3_no,1932,20,96.6,105.0,19.32,-0.68,-68.0,-168.0,187,341,113,59,96.6,91.3,119.0,-97.1,-128.0,198.6,133.5,231.0,145.2,-6.6,-1.3,-23,31,-29.0,-108.6,-43.5,-141.0,-55.2
21,S0,119,90,70,bonus_bs15_gae3_no,2022,21,96.3,90,20.22,-0.78,-78.0,132.0,223,277,77,123,96.3,105.5,122.0,-108.6,-141.0,210.0,137.3,244.0,149.5,22.7,13.5,42,-4,-3.0,-91.0,-18.3,-125.0,-30.5
22,S0,110,119,70,bonus_bs15_gae3_no,2141,22,97.3,104.5,21.41,-0.59,-59.0,-158.0,209,342,91,58,97.3,95.9,116.8,-91.0,-125.0,192.5,131.5,228.0,144.3,12.7,14.1,19,52,-6.8,-82.5,-21.5,-118.0,-34.3
23,S0,37,110,70,bonus_bs15_gae3_no,2251,23,97.9,110,22.51,-0.49,-49.0,-279.0,229,319,71,81,97.9,98.9,114.0,-82.5,-118.0,184.0,128.7,221.0,141.9,-60.9,-61.9,-34,-44,-77.0,-147.0,-91.7,-184.0,-104.9
24,S0,158,37,70,bonus_bs15_gae3_no,2288,24,95.3,100.0,22.88,-1.12,-112.0,-112.0,147,266,153,134,95.3,122.9,132.3,-147.0,-184.0,248.4,150.0,287.0,163.7,62.7,35.1,5,24,25.7,-90.4,8.0,-129.0,-5.7
25,S0,102,158,70,bonus_bs15_gae3_no,2446,25,97.8,110,24.46,-0.54,-54.0,-304.0,195,305,105,95,97.8,83.1,115.7,-90.4,-129.0,191.9,131.3,232.0,145.6,4.2,18.9,-3,7,-13.7,-89.9,-29.3,-130.0,-43.6
26,S0,111,102,70,bonus_bs15_gae3_no,2548,26,98.0,106.0,25.48,-0.52,-52.0,-208.0,260,297,40,103,98.0,101.5,115.2,-89.9,-130.0,191.3,131.1,233.0,145.9,13.0,9.5,71,8,-4.2,-80.3,-20.1,-122.0,-34.9
27,S0,59,111,70,bonus_bs15_gae3_no,2659,27,98.5,110,26.59,-0.41,-41.0,-311.0,213,371,87,29,98.5,98.6,112.0,-80.3,-122.0,181.8,128.0,225.0,143.3,-39.5,-39.6,-28,30,-53.0,-122.8,-69.0,-166.0,-84.3
28,S0,147,59,70,bonus_bs15_gae3_no,2718,28,97.1,106.0,27.18,-0.82,-82.0,-250.0,170,272,130,128,97.1,115.7,124.1,-122.8,-166.0,224.2,142.0,269.0,157.8,49.9,31.3,17,19,22.9,-77.2,5.0,-122.0,-10.8
29,S0,69,147,70,bonus_bs15_gae3_no,2865,29,98.8,110,28.65,-0.35,-35.0,-325.0,206,317,94,83,98.8,86.7,110.3,-77.2,-122.0,178.7,126.9,225.0,143.3,-29.8,-17.7,-25,-14,-41.3,-109.7,-57.9,-156.0,-74.3
30,S0,127,69,70,bonus_bs15_gae3_no,2934,30,97.8,106.0,29.34,-0.66,-66.0,-246.0,216,275,84,125,97.8,112.4,119.6,-109.7,-156.0,211.2,137.7,259.0,154.5,29.2,14.6,43,2,7.4,-84.2,-10.7,-132.0,-27.5
31,S0,49,127,70,bonus_bs15_gae3_no,3061,31,98.7,110,30.61,-0.39,-39.0,-349.0,196,343,104,57,98.7,93.3,111.6,-84.2,-132.0,185.6,129.2,235.0,146.6,-49.7,-44.3,-55,-8,-62.6,-136.6,-80.2,-186.0,-97.6
32,S0,117,49,70,bonus_bs15_gae3_no,3110,32,97.2,106.0,31.1,-0.9,-90.0,-282.0,176,245,124,155,97.2,119.0,126.9,-136.6,-186.0,238.1,146.5,289.0,164.4,19.8,-2.0,-7,-38,-9.9,-121.1,-29.5,-172.0,-47.4
33,S0,48,117,70,bonus_bs15_gae3_no,3227,33,97.8,110,32.27,-0.73,-73.0,-403.0,166,293,134,107,97.8,96.6,121.9,-121.1,-172.0,222.5,141.4,275.0,159.8,-49.8,-48.6,-86,-59,-73.9,-174.5,-93.4,-227.0,-111.8
34,S0,151,48,70,bonus_bs15_gae3_no,3275,34,96.3,106.0,32.75,-1.25,-125.0,-329.0,165,214,135,186,96.3,119.3,137.6,-174.5,-227.0,276.0,159.1,330.0,177.9,54.7,31.7,16,-35,13.4,-125.0,-8.1,-179.0,-26.9
35,S0,128,151,70,bonus_bs15_gae3_no,3426,35,97.9,110,34.26,-0.74,-74.0,-424.0,199,316,101,84,97.9,85.4,122.3,-125.0,-179.0,226.4,142.7,282.0,162.1,30.1,42.6,27,44,5.7,-98.4,-14.7,-154.0,-34.1
36,S0,42,128,70,bonus_bs15_gae3_no,3554,36,98.7,110.5,35.54,-0.46,-46.0,-424.0,279,327,21,73,98.7,93.0,113.9,-98.4,-154.0,199.9,133.9,257.0,153.8,-56.7,-51.0,21,-31,-71.9,-157.9,-91.9,-215.0,-111.8
37,S0,170,42,70,bonus_ds25_gae3_no,3596,37,97.2,110,35.96,-1.04,-104.0,-474.0,170,321,130,79,97.2,121.3,131.5,-157.9,-215.0,259.4,153.6,318.0,173.9,72.8,48.7,40,91,38.5,-89.4,16.4,-148.0,-3.9
38,S0,49,170,70,bonus_ds25_gae3_no,3766,38,99.1,110.5,37.66,-0.34,-34.0,-433.0,212,340,88,60,99.1,79.2,110.3,-89.4,-148.0,190.8,130.9,251.0,151.8,-50.1,-30.2,-39,-11,-61.3,-141.8,-81.9,-202.0,-102.8
39,S0,101,49,70,bonus_ds25_gae3_no,3815,39,97.8,110,38.15,-0.85,-85.0,-475.0,219,261,81,139,97.8,119.0,125.9,-141.8,-202.0,243.3,148.3,305.0,169.7,3.2,-18.0,20,-38,-24.9,-142.3,-47.3,-204.0,-68.7
40,S0,123,101,70,bonus_ds25_gae3_no,3916,40,97.9,106.0,39.16,-0.84,-84.0,-324.0,150,320,150,80,97.9,101.9,125.6,-142.3,-204.0,243.7,148.4,307.0,170.3,25.1,21.1,-27,43,-2.6,-120.7,-25.4,-184.0,-47.3
41,S0,40,123,70,bonus_ds25_gae3_no,4039,41,98.5,110,40.39,-0.61,-61.0,-471.0,224,273,76,127,98.5,94.6,118.6,-120.7,-184.0,222.2,141.3,287.0,163.7,-58.5,-54.6,-36,-87,-78.6,-182.2,-101.3,-247.0,-123.7
42,S0,108,40,70,bonus_ds25_gae3_no,4079,42,97.1,106.0,40.79,-1.21,-121.0,-373.0,163,264,137,136,97.1,121.9,137.0,-182.2,-247.0,283.6,161.6,350.0,184.5,10.9,-13.9,-29,-28,-29.0,-175.6,-53.6,-242.0,-76.5
43,S0,141,108,70,bonus_ds25_gae3_no,4187,43,97.4,108,41.87,-1.13,-113.0,-457.0,148,271,152,129,97.4,99.6,134.7,-175.6,-242.0,277.1,159.4,345.0,182.9,43.6,41.4,-11,12,6.3,-136.1,-18.4,-204.0,-41.9
44,S0,137,141,70,bonus_ds25_gae3_no,4328,44,98.4,109.0,43.28,-0.72,-72.0,-468.0,249,289,51,111,98.4,88.7,122.1,-136.1,-204.0,237.6,146.4,307.0,170.3,38.6,48.3,86,26,14.9,-100.6,-9.4,-170.0,-33.3
45,S0,86,137,70,bonus_ds25_gae3_no,4465,45,99.2,110,44.65,-0.35,-35.0,-485.0,278,386,22,14,99.2,90.0,110.8,-100.6,-170.0,202.0,134.6,273.0,159.1,-13.2,-4.0,64,72,-24.8,-116.0,-48.6,-187.0,-73.1
46,S0,29,86,70,bonus_ds25_gae3_no,4551,46,98.9,109.0,45.51,-0.49,-49.0,-463.0,223,364,77,36,98.9,106.8,115.1,-116.0,-187.0,217.5,139.7,290.0,164.7,-69.9,-77.8,-48,-7,-86.1,-188.5,-110.7,-261.0,-135.7
