i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
67,S0,140,101,70,bonus_bs15_gae3_no,6626,67,98.9,104,66.26,-0.74,-74.0,-342.0,241,319,59,81,98.9,101.9,123.3,-171.6,-275.0,273.1,158.1,378.0,193.7,41.1,38.1,81,59,16.7,-133.1,-18.1,-238.0,-53.7
68,S0,37,140,70,bonus_bs15_gae3_no,6766,68,99.5,106.0,67.66,-0.34,-34.0,-442.0,241,381,59,19,99.5,89.0,110.7,-133.1,-238.0,234.5,145.4,341.0,181.5,-62.5,-52.0,-22,18,-73.7,-197.5,-108.4,-304.0,-144.5
69,S0,89,37,70,bonus_bs15_gae3_no,6803,69,98.6,104,68.03,-0.97,-97.0,-373.0,177,278,123,122,98.6,122.9,130.6,-197.5,-304.0,299.0,166.6,407.0,203.3,-9.6,-33.9,-34,-33,-41.6,-210.0,-77.6,-318.0,-114.3
70,S0,134,89,70,bonus_bs15_gae3_no,6892,70,98.5,103.0,68.92,-1.08,-108.0,-318.0,126,266,174,134,98.5,105.8,134.1,-210.0,-318.0,311.4,170.7,421.0,207.9,35.5,28.2,-40,0,-0.1,-177.4,-36.7,-287.0,-73.9
71,S0,54,134,70,bonus_bs15_gae3_no,7026,71,99.0,104,70.26,-0.74,-74.0,-358.0,223,260,77,140,99.0,91.0,123.4,-177.4,-287.0,278.9,160.0,390.0,197.7,-45.0,-37.0,-23,-86,-69.4,-224.9,-106.0,-336.0,-143.7
72,S0,139,54,70,bonus_bs15_gae3_no,7080,72,98.3,103.0,70.8,-1.2,-120.0,-336.0,188,277,112,123,98.3,117.3,137.9,-224.9,-336.0,326.3,175.7,439.0,213.9,40.7,21.7,27,16,1.1,-187.3,-36.7,-300.0,-74.9
73,S0,79,139,70,bonus_bs15_gae3_no,7219,73,98.9,104,72.19,-0.81,-81.0,-373.0,193,327,107,73,98.9,89.4,125.6,-187.3,-300.0,288.8,163.3,403.0,202.0,-19.9,-10.4,-28,6,-46.6,-209.8,-84.3,-324.0,-123.0
74,S0,123,79,70,bonus_bs15_gae3_no,7298,74,98.6,103.0,72.98,-1.02,-102.0,-324.0,218,272,82,128,98.6,109.1,132.3,-209.8,-324.0,311.3,170.7,427.0,209.9,24.4,13.9,41,-5,-9.3,-188.3,-47.7,-304.0,-86.9
75,S0,120,123,70,bonus_bs15_gae3_no,7421,75,98.9,104,74.21,-0.79,-79.0,-379.0,202,341,98,59,98.9,94.6,125.0,-188.3,-304.0,289.7,163.6,407.0,203.3,21.1,25.4,22,61,-5.0,-169.7,-43.6,-287.0,-83.3
76,S0,30,120,70,bonus_bs15_gae3_no,7541,76,99.2,106.0,75.41,-0.59,-59.0,-515.0,243,322,57,78,99.2,95.6,118.7,-169.7,-287.0,271.2,157.5,390.0,197.7,-69.2,-65.6,-27,-48,-88.7,-241.2,-127.5,-360.0,-167.7
