feature,mean_importance
t,955.125
last_stl_triple_gap,827.75
last_shd_triple_gap,711.125
last_coin_triple_gap,678.875
last_atk_triple_gap,637.625
last_gs_triple_gap,586.375
vt_gap_lag1,478.25
acc_gap_lag4,476.875
vt_gap_mean3,399.75
acc_gap_mean3,388.375
spn_gap_lag3,388.25
spn_gap_lag4,381.125
acc_gap_std3,373.375
cooldown_age,358.25
spn_gap_lag2,352.0
spn_gap_std3,348.125
acc_gap_lag2,344.375
vt_gap_lag4,343.375
vt_gap_std3,336.75
spn_gap_lag1,333.375
vt_gap_lag3,331.875
acc_gap_lag1,328.125
acc_gap_lag3,318.875
vt_gap_lag2,315.375
cum_any_triples,306.25
spn_gap_mean3,278.625
cum_gs_triple,215.375
cum_atk_triples,190.25
last_any_triple_gap,169.5
cum_coin_triple,161.75
cur_cat_id,152.0
pvt_ACC,133.25
cum_shd_triples,125.25
density_any_last10,116.375
cum_stl_triples,113.0
cat_lag1,109.625
cat_lag2,95.875
cat_lag3,84.375
cooldown_last10,80.125
density_any_last5,62.375
cooldown_last5,37.75
pvt_SPN,30.125
last_real_triple_gap,28.125
reel_dup_last,11.625
reel_dup_streak,5.0
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
