feature,mean_importance
t,880.875
last_stl_triple_gap,771.375
last_shd_triple_gap,600.5
last_coin_triple_gap,572.25
vt_gap_lag1,533.625
last_atk_triple_gap,514.25
last_gs_triple_gap,512.625
acc_gap_lag4,478.75
vt_gap_mean3,454.75
spn_gap_lag3,427.625
spn_gap_lag4,427.125
vt_gap_lag4,410.875
vt_gap_lag2,409.375
acc_gap_lag1,406.375
spn_gap_std3,404.625
acc_gap_mean3,400.625
acc_gap_std3,391.75
acc_gap_lag3,391.0
spn_gap_lag2,389.75
spn_gap_lag1,389.25
cum_any_triples,382.125
vt_gap_std3,379.25
acc_gap_lag2,356.875
spn_gap_mean3,350.5
vt_gap_lag3,348.0
cooldown_age,270.125
cum_gs_triple,238.25
cum_atk_triples,219.625
cum_coin_triple,193.75
cum_shd_triples,178.375
last_any_triple_gap,118.0
cum_stl_triples,117.125
density_any_last10,102.125
cur_cat_id,73.75
cooldown_last10,70.5
density_any_last5,65.5
pvt_ACC,63.0
cat_lag1,59.0
cat_lag3,42.25
cat_lag2,42.125
cooldown_last5,21.75
pvt_SPN,20.5
last_real_triple_gap,16.625
reel_dup_last,2.375
reel_dup_streak,1.125
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
