feature,mean_importance
t,821.875
last_stl_triple_gap,802.875
last_coin_triple_gap,722.875
last_shd_triple_gap,688.375
last_gs_triple_gap,641.125
last_atk_triple_gap,586.875
vt_gap_lag1,426.5
acc_gap_lag4,405.0
spn_gap_lag4,390.125
spn_gap_lag3,376.5
spn_gap_std3,373.125
acc_gap_lag3,371.75
acc_gap_std3,371.375
spn_gap_lag2,370.5
spn_gap_lag1,360.625
acc_gap_lag1,357.375
vt_gap_lag4,354.0
vt_gap_mean3,345.75
vt_gap_std3,341.25
vt_gap_lag3,338.125
cooldown_age,334.25
acc_gap_lag2,333.125
vt_gap_lag2,323.5
spn_gap_mean3,305.5
acc_gap_mean3,303.0
cum_any_triples,293.0
cur_cat_id,232.875
last_any_triple_gap,204.75
cat_lag3,179.75
cat_lag2,175.25
density_any_last10,164.375
cum_gs_triple,153.75
cat_lag1,151.0
cum_shd_triples,150.375
cum_atk_triples,142.875
cum_coin_triple,138.0
pvt_ACC,89.125
density_any_last5,84.5
cooldown_last10,80.75
cum_stl_triples,64.5
cooldown_last5,52.375
last_real_triple_gap,33.5
reel_dup_last,28.75
pvt_SPN,22.5
reel_dup_streak,12.625
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
