feature,mean_importance
t,866.125
last_stl_triple_gap,664.5
vt_gap_lag1,624.625
vt_gap_mean3,518.625
acc_gap_lag4,505.75
spn_gap_lag3,487.25
spn_gap_lag4,482.75
last_shd_triple_gap,466.0
vt_gap_lag4,458.375
acc_gap_lag3,458.0
spn_gap_std3,449.875
spn_gap_lag2,446.5
vt_gap_lag2,445.375
acc_gap_lag1,444.125
acc_gap_std3,444.0
spn_gap_lag1,435.25
cum_any_triples,418.25
last_coin_triple_gap,415.125
vt_gap_lag3,412.125
acc_gap_mean3,399.375
vt_gap_std3,395.875
spn_gap_mean3,394.0
acc_gap_lag2,379.875
last_gs_triple_gap,371.75
last_atk_triple_gap,371.25
cum_gs_triple,318.0
cum_atk_triples,247.875
cum_coin_triple,233.375
cum_shd_triples,213.5
cooldown_age,156.375
cum_stl_triples,148.875
density_any_last10,103.625
pvt_ACC,75.0
cooldown_last10,57.625
last_any_triple_gap,37.875
cat_lag3,36.625
cur_cat_id,31.75
cat_lag1,19.875
pvt_SPN,17.125
density_any_last5,16.375
cat_lag2,14.625
cooldown_last5,7.5
last_real_triple_gap,6.25
reel_dup_streak,3.0
cum_acc_triples,0.0
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
reel_dup_last,0.0
