feature,mean_importance
t,874.625
last_stl_triple_gap,831.0
last_coin_triple_gap,760.875
last_atk_triple_gap,691.375
last_shd_triple_gap,689.5
last_gs_triple_gap,651.25
vt_gap_lag1,445.75
cooldown_age,435.875
acc_gap_lag4,421.0
acc_gap_std3,364.125
spn_gap_lag4,358.375
vt_gap_mean3,356.25
spn_gap_lag3,355.0
acc_gap_mean3,344.875
spn_gap_std3,342.75
spn_gap_lag2,330.5
acc_gap_lag2,330.25
vt_gap_std3,315.625
vt_gap_lag4,311.25
spn_gap_lag1,302.5
vt_gap_lag2,298.75
vt_gap_lag3,297.625
acc_gap_lag3,294.875
acc_gap_lag1,287.625
spn_gap_mean3,272.5
cum_any_triples,264.625
last_any_triple_gap,252.125
cur_cat_id,221.375
cat_lag3,216.0
cat_lag2,181.5
density_any_last10,168.75
cum_gs_triple,163.25
cum_atk_triples,162.0
cat_lag1,142.75
cum_coin_triple,138.875
pvt_ACC,119.75
cooldown_last10,103.0
cum_shd_triples,87.25
density_any_last5,86.25
cum_stl_triples,81.5
cooldown_last5,53.0
last_real_triple_gap,42.875
pvt_SPN,26.75
reel_dup_last,16.375
reel_dup_streak,7.875
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
