seq,timestamp,session_date,gap_idx,spin_in_gap,prev_gap_length,prev_real_triple,bet_level,bet_mult,sa_spins,sa_acc,sa_spn,acc_rate,spn_rate,slope_8,slope_10,r01_combo,r02_ideal_ra,r03_ra_t130,r04_flat_150_32,r05_sml_l120_g32,r06_sml_l120_g30,r07_sml_s100_l120_m180,r08_sml_s100_l120_m110,r09_sml_s100_l130_m130,r10_sml_s50_l130_m150,r11_sml_s50_l130_s80,r12_shield_110,r13_shield_120,r14_shield_130,r15_shield_140,r16_flat_150_37,rules_count,rules_bitmask,phase,cooldown_remaining,consec_bets,gap_bets_so_far,is_triple,triple_type,target_caught,gae_segment,gae_grand_prize,gae_last_mission,accum_mission,accum_current,accum_total,accum_pct,accum_delta
64050,2026-04-08 15:50:14,2026-04-08,0,4,-1,steal,9,1,43,16,2,0.3721,0.0465,0.3721,0.3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1144,10000,11.44,0
64051,2026-04-08 15:50:15,2026-04-08,0,5,-1,steal,9,1,44,16,3,0.3636,0.0682,0.3636,0.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1144,10000,11.44,0
64052,2026-04-08 15:50:16,2026-04-08,0,6,-1,steal,9,1,45,16,3,0.3556,0.0667,0.3556,0.3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1144,10000,11.44,0
64053,2026-04-08 15:50:16,2026-04-08,0,7,-1,attack,9,1,46,16,3,0.3478,0.0652,0.3478,0.3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,1,attack,0,,700000,107,37,1144,10000,11.44,0
64054,2026-04-08 15:50:44,2026-04-08,0,8,-1,attack,9,1,47,16,3,0.3404,0.0638,0.3404,0.3404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,1,,0,,700000,107,37,1144,10000,11.44,0
64055,2026-04-08 15:50:45,2026-04-08,0,9,-1,attack,9,1,48,18,3,0.3750,0.0625,-0.0250,0.3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1146,10000,11.46,0
64056,2026-04-08 15:50:46,2026-04-08,0,10,-1,attack,9,1,49,18,3,0.3673,0.0612,-0.0229,0.3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,1,,0,,700000,107,37,1146,10000,11.46,0
64057,2026-04-08 15:50:46,2026-04-08,0,11,-1,attack,9,1,50,18,4,0.3600,0.0800,-0.0210,-0.0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1146,10000,11.46,0
64058,2026-04-08 15:50:48,2026-04-08,0,12,-1,attack,9,1,51,18,4,0.3529,0.0784,-0.0192,-0.0373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1146,10000,11.46,0
64059,2026-04-08 15:50:49,2026-04-08,0,13,-1,attack,9,1,52,18,4,0.3462,0.0769,-0.0175,-0.0348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1146,10000,11.46,0
64060,2026-04-08 15:50:49,2026-04-08,0,14,-1,attack,9,1,53,18,5,0.3396,0.0943,-0.0159,-0.0325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1146,10000,11.46,0
64061,2026-04-08 15:50:50,2026-04-08,0,15,-1,attack,9,1,54,18,5,0.3333,0.0926,-0.0145,-0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1146,10000,11.46,0
64062,2026-04-08 15:50:51,2026-04-08,0,16,-1,steal,9,1,55,18,5,0.3273,0.0909,-0.0132,-0.0283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,1,steal,0,,700000,107,37,1146,10000,11.46,0
64063,2026-04-08 15:51:44,2026-04-08,0,17,-1,steal,9,1,56,19,5,0.3393,0.0893,-0.0357,-0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,SOON,0,0,0,0,,0,,700000,107,37,1147,10000,11.47,0
