feature,mean_importance
t,800.7
acc_gap_lag4,595.7
vt_gap_lag1,579.45
last_stl_triple_gap,529.9
acc_gap_mean3,527.35
last_shd_triple_gap,522.55
spn_gap_lag4,522.4
spn_gap_lag2,507.4
spn_gap_lag3,479.1
vt_gap_lag4,477.7
vt_gap_lag3,474.65
vt_gap_mean3,469.35
spn_gap_lag1,466.0
acc_gap_lag2,456.0
spn_gap_mean3,454.7
acc_gap_std3,453.05
vt_gap_std3,442.9
spn_gap_std3,434.35
acc_gap_lag1,429.95
acc_gap_lag3,422.35
last_atk_triple_gap,416.85
vt_gap_lag2,408.45
cum_any_triples,388.45
last_coin_triple_gap,343.6
last_gs_triple_gap,318.9
cum_gs_triple,273.3
cum_atk_triples,251.6
cum_coin_triple,220.0
cum_shd_triples,164.6
pvt_ACC,156.6
cooldown_age,140.3
cum_stl_triples,109.1
density_any_last10,55.6
cooldown_last10,51.15
last_any_triple_gap,34.55
pvt_SPN,31.5
cur_cat_id,27.15
cat_lag3,15.85
cooldown_last5,14.75
density_any_last5,10.75
cat_lag2,9.9
cat_lag1,6.2
last_real_triple_gap,5.1
reel_dup_last,0.2
cum_acc_triples,0.0
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
reel_dup_streak,0.0
