feature,mean_importance
t,811.25
last_stl_triple_gap,666.35
last_shd_triple_gap,651.05
last_atk_triple_gap,552.3
acc_gap_lag4,531.2
vt_gap_lag1,497.4
last_coin_triple_gap,495.55
last_gs_triple_gap,477.65
acc_gap_mean3,476.65
spn_gap_lag4,463.45
spn_gap_lag2,444.0
spn_gap_lag3,435.05
vt_gap_mean3,428.55
spn_gap_lag1,426.75
vt_gap_lag4,423.2
vt_gap_lag3,422.4
acc_gap_lag2,421.25
acc_gap_lag3,409.35
acc_gap_std3,409.15
spn_gap_mean3,402.25
acc_gap_lag1,401.6
vt_gap_std3,401.05
spn_gap_std3,391.75
cum_any_triples,375.5
vt_gap_lag2,354.25
cooldown_age,281.15
cum_atk_triples,209.8
cum_gs_triple,208.7
cum_coin_triple,179.4
pvt_ACC,138.15
cum_shd_triples,132.65
cum_stl_triples,92.45
last_any_triple_gap,92.4
cooldown_last10,91.75
density_any_last10,84.9
cur_cat_id,46.85
density_any_last5,44.1
pvt_SPN,25.85
cat_lag2,22.5
cat_lag1,22.3
cat_lag3,20.8
cooldown_last5,17.65
last_real_triple_gap,16.4
reel_dup_last,2.45
reel_dup_streak,0.8
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
