feature,mean_importance
t,804.85
last_stl_triple_gap,603.9
last_coin_triple_gap,553.4
last_shd_triple_gap,549.25
vt_gap_lag1,535.5
spn_gap_lag3,506.4
spn_gap_lag4,504.85
acc_gap_lag4,497.1
last_gs_triple_gap,494.3
spn_gap_std3,470.75
acc_gap_std3,469.8
last_atk_triple_gap,457.5
acc_gap_lag3,450.4
acc_gap_lag2,442.1
spn_gap_lag1,441.15
vt_gap_mean3,434.0
spn_gap_lag2,432.6
vt_gap_std3,426.45
acc_gap_lag1,420.3
vt_gap_lag4,412.0
vt_gap_lag2,385.9
acc_gap_mean3,384.45
vt_gap_lag3,378.45
cum_any_triples,363.15
spn_gap_mean3,355.15
cum_gs_triple,246.95
cum_atk_triples,214.7
cum_coin_triple,203.9
cooldown_age,187.1
cum_shd_triples,176.45
pvt_ACC,118.9
last_any_triple_gap,98.25
cum_stl_triples,93.25
density_any_last10,88.3
cooldown_last10,64.4
cur_cat_id,46.1
density_any_last5,43.05
cat_lag3,29.65
pvt_SPN,26.65
cooldown_last5,25.6
cat_lag2,24.0
cat_lag1,20.6
last_real_triple_gap,16.2
reel_dup_last,1.5
reel_dup_streak,0.75
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
