feature,mean_importance
t,797.1
vt_gap_lag1,615.6
spn_gap_lag3,551.3
spn_gap_lag4,546.45
spn_gap_std3,535.15
acc_gap_lag4,533.35
acc_gap_std3,521.3
last_stl_triple_gap,498.8
acc_gap_lag3,495.7
vt_gap_mean3,494.7
spn_gap_lag2,487.2
vt_gap_std3,482.8
spn_gap_lag1,479.75
acc_gap_lag2,474.0
vt_gap_lag4,462.95
acc_gap_lag1,451.65
vt_gap_lag3,437.4
vt_gap_lag2,434.7
last_shd_triple_gap,422.25
cum_any_triples,402.55
acc_gap_mean3,401.0
spn_gap_mean3,392.05
last_coin_triple_gap,388.85
last_atk_triple_gap,296.55
cum_gs_triple,295.05
last_gs_triple_gap,285.45
cum_atk_triples,261.15
cum_coin_triple,247.3
cum_shd_triples,213.4
pvt_ACC,141.15
cum_stl_triples,136.35
cooldown_age,88.2
density_any_last10,75.9
cooldown_last10,35.05
last_any_triple_gap,33.35
pvt_SPN,25.45
cur_cat_id,23.7
density_any_last5,8.6
cat_lag2,7.4
cat_lag3,7.0
cooldown_last5,4.15
last_real_triple_gap,4.1
cat_lag1,3.65
reel_dup_streak,0.4
reel_dup_last,0.05
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
