feature,mean_importance
t,770.25
vt_gap_lag1,606.2
last_stl_triple_gap,588.1
last_shd_triple_gap,543.65
spn_gap_lag3,533.4
spn_gap_lag4,512.05
acc_gap_lag4,505.15
last_coin_triple_gap,480.6
last_atk_triple_gap,475.35
vt_gap_mean3,465.2
acc_gap_mean3,459.55
acc_gap_lag2,457.95
spn_gap_lag2,456.7
acc_gap_lag3,454.6
last_gs_triple_gap,451.4
acc_gap_std3,447.3
spn_gap_lag1,440.9
vt_gap_lag4,433.6
spn_gap_std3,430.1
cum_any_triples,417.45
vt_gap_std3,414.45
vt_gap_lag2,413.35
spn_gap_mean3,404.45
vt_gap_lag3,383.3
acc_gap_lag1,374.25
cum_gs_triple,262.25
cum_atk_triples,224.7
cum_coin_triple,211.1
cooldown_age,197.05
cum_shd_triples,170.45
cum_stl_triples,105.7
density_any_last10,83.75
cooldown_last10,81.9
last_any_triple_gap,64.0
pvt_ACC,43.05
density_any_last5,38.45
cur_cat_id,20.45
cooldown_last5,17.4
pvt_SPN,15.9
cat_lag3,13.65
cat_lag1,10.65
cat_lag2,10.35
last_real_triple_gap,9.35
reel_dup_last,0.35
reel_dup_streak,0.2
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
