feature,mean_importance
t,737.65
last_stl_triple_gap,642.45
last_shd_triple_gap,604.1
last_coin_triple_gap,588.85
vt_gap_lag1,560.45
last_gs_triple_gap,546.15
last_atk_triple_gap,536.1
spn_gap_lag3,499.1
acc_gap_lag4,485.35
spn_gap_lag4,471.15
vt_gap_mean3,439.15
acc_gap_mean3,436.25
acc_gap_lag2,433.05
acc_gap_std3,429.0
acc_gap_lag3,418.2
spn_gap_lag2,411.25
spn_gap_lag1,410.0
vt_gap_lag4,410.0
spn_gap_std3,403.8
vt_gap_std3,384.5
spn_gap_mean3,382.6
vt_gap_lag2,379.0
cum_any_triples,364.95
acc_gap_lag1,358.5
vt_gap_lag3,356.9
cooldown_age,261.75
cum_gs_triple,204.3
cum_atk_triples,192.1
cum_coin_triple,171.55
cum_shd_triples,151.1
last_any_triple_gap,138.55
density_any_last10,120.85
cooldown_last10,95.3
cum_stl_triples,92.25
cur_cat_id,68.3
density_any_last5,62.8
cat_lag3,60.7
cat_lag2,40.95
pvt_ACC,38.2
cooldown_last5,34.9
cat_lag1,34.55
last_real_triple_gap,23.45
pvt_SPN,15.85
reel_dup_last,2.15
reel_dup_streak,1.9
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
