  row   spin#  idx(r1,r2,r3)  reel1 reel2 reel3  tri  flags
  488   65934        (3,7,8)  accum goldS goldS       
  489   65937        (1,1,5)   coin  coin steal       
  490   65938        (4,4,4)   coin  coin  coin   3x  (triple: coin)
  491   65939        (3,0,0)  steal steal steal   3x  (triple: steal)
  492   65941        (1,1,1)  attac  coin shiel       
  493   65942        (1,1,5)   coin  coin  coin   3x  (triple: coin)
  494   65943        (3,7,3)   coin  coin  coin   3x  (triple: coin)
  495   65944        (1,5,1)  goldS goldS goldS   3x  (triple: goldSack)
  496   65946        (2,2,5)  attac  coin shiel       
  497   65947        (7,7,8)   coin shiel shiel       
  498   65948        (4,5,5)  accum goldS goldS       
  499   65949        (7,6,4)   coin  coin steal       
  500   65951        (4,4,4)  shiel goldS goldS       
  501   65952        (4,1,5)  steal steal steal   3x  (triple: steal)
  502   65953        (2,2,2)   coin  coin steal       
  503   65954        (8,8,8)  shiel shiel shiel   3x  >>> MAX BET (8,8,8) <<<  (triple: shield)
  504   65956        (7,7,8)  attac  coin shiel       <-- NEXT SPIN AFTER SIGNAL
  505   65960        (6,6,6)  steal spins goldS       >>> MAX BET (6,6,6) <<<
                                                      --- gap 10: 58 spins ---
  506   65961        (2,5,0)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#10 SPN** (gap=58)
  507   65962        (3,6,0)  attac  coin shiel       
  508   65964        (0,8,8)  goldS goldS goldS   3x  (triple: goldSack)
  509   65966        (7,7,8)   coin steal steal       
  510   65967        (0,0,0)  accum goldS goldS       
  511   65968        (7,3,8)  attac attac attac   3x  (triple: attack)
  512   65969        (3,7,3)  accum goldS goldS       
  513   65970        (3,6,0)  goldS goldS goldS   3x  (triple: goldSack)
  514   65971        (7,6,4)  attac spins goldS       
  515   65972        (4,5,0)  steal spins goldS       
  516   65974        (3,3,8)  goldS goldS goldS   3x  (triple: goldSack)
  517   65977        (5,8,8)   coin steal spins       
  518   65978        (3,3,8)  accum accum  coin       
  519   65979        (3,3,8)  accum goldS goldS       
  520   65980        (7,7,8)  accum goldS goldS       
  521   65981        (4,1,1)  accum goldS goldS       
  522   65983        (3,6,0)  attac  coin shiel       
  523   65984        (1,8,8)  attac spins goldS       
  524   65986        (3,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  525   65988        (3,7,8)   coin spins spins       
  526   65990        (4,4,1)   coin  coin  coin   3x  (triple: coin)
  527   65995        (4,4,4)  attac  coin shiel       
  528   65996        (3,6,0)  steal steal steal   3x  (triple: steal)
  529   65997        (2,2,2)  attac spins goldS       
  530   65998        (1,1,1)  shiel shiel shiel   3x  (triple: shield)
  531   65999        (5,8,8)   coin  coin  coin   3x  (triple: coin)
  532   66000        (2,2,2)  accum accum  coin       
  533   66002        (2,1,0)  attac spins goldS       
  534   66003        (0,0,0)  attac  coin shiel       
  535   66008        (2,2,2)  attac spins goldS       
  536   66010        (3,7,8)   coin  coin steal       
  537   66011        (0,0,0)  accum goldS goldS       
  538   66012        (2,1,0)  attac attac attac   3x  (triple: attack)
  539   66013        (3,7,8)  attac  coin shiel       
  540   66014        (0,0,0)  accum goldS goldS       
  541   66019        (3,7,8)  attac attac goldS       
  542   66021        (0,0,0)  attac attac goldS       
  543   66022        (3,7,8)  attac attac attac   3x  (triple: attack)
  544   66023        (7,7,8)  accum goldS goldS       
  545   66024        (4,1,1)  accum goldS goldS       
  546   66025        (1,8,8)   coin  coin steal       
  547   66026        (3,6,0)  accum accum  coin       
  548   66028        (7,3,8)   coin  coin  coin   3x  (triple: coin)
  549   66029        (4,4,4)  accum goldS goldS       
  550   66030        (4,1,5)  steal steal steal   3x  (triple: steal)
  551   66031        (7,6,0)   coin  coin steal       
  552   66032        (6,6,1)  attac spins goldS       
  553   66033        (3,7,3)   coin spins spins       
  554   66034        (7,6,4)  goldS goldS goldS   3x  (triple: goldSack)
  555   66035        (0,0,0)  steal spins goldS       
  556   66038        (5,8,8)   coin  coin  coin   3x  (triple: coin)
  557   66039        (2,2,2)  accum accum  coin       
  558   66040        (7,2,0)  shiel shiel shiel   3x  (triple: shield)
  559   66042        (6,4,1)  goldS goldS goldS   3x  (triple: goldSack)
  560   66044        (0,8,8)   coin  coin steal       
  561   66045        (6,6,1)  accum accum attac       
  562   66046        (1,8,8)   coin spins spins       
  563   66047        (7,3,3)  accum accum  coin       
  564   66049        (3,7,8)   coin  coin  coin   3x  (triple: coin)
  565   66050        (7,0,0)  accum goldS goldS       
  566   66051        (6,6,5)  attac attac goldS       
  567   66053        (7,3,8)  attac  coin  coin       
  568   66055        (3,6,0)   coin  coin  coin   3x  (triple: coin)
  569   66057        (0,0,0)   coin  coin steal       
  570   66059        (3,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  571   66060        (3,3,8)  accum goldS goldS       
  572   66061        (3,2,0)  accum goldS goldS       
  573   66062        (5,8,8)  attac shiel goldS       
  574   66063        (1,5,5)  accum accum  coin       
  575   66065        (7,6,0)  goldS goldS goldS   3x  (triple: goldSack)
  576   66066        (7,3,8)  attac spins goldS       
  577   66067        (0,0,0)  accum goldS goldS       
  578   66069        (0,0,0)  attac attac goldS       
  579   66071        (3,7,3)   coin steal steal       
  580   66072        (4,4,1)  goldS goldS goldS   3x  (triple: goldSack)
  581   66074        (6,4,5)  attac  coin  coin       
  582   66077        (2,2,2)  attac spins goldS       
  583   66078        (1,8,8)  shiel shiel shiel   3x  (triple: shield)
  584   66079        (7,3,8)  accum accum  coin       
  585   66080        (7,3,8)  accum goldS goldS       
  586   66081        (4,4,4)  accum goldS goldS       
  587   66083        (3,7,8)   coin  coin steal       
  588   66084        (7,7,8)  accum goldS goldS       
  589   66085        (8,8,8)  accum goldS goldS       >>> MAX BET (8,8,8) <<<
  590   66087        (1,1,5)   coin  coin  coin   3x  <-- NEXT SPIN AFTER SIGNAL  (triple: coin)
  591   66088        (1,5,0)   coin  coin  coin   3x  (triple: coin)
  592   66089        (2,2,2)  attac  coin  coin       
  593   66090        (2,2,1)  shiel shiel shiel   3x  (triple: shield)
  594   66091        (7,7,8)   coin shiel shiel       
  595   66092        (3,3,8)  accum goldS goldS       
  596   66095        (5,1,5)  attac attac goldS       
  597   66096        (3,0,0)   coin  coin  coin   3x  (triple: coin)
  598   66097        (3,3,3)  attac attac goldS       
  599   66099        (3,6,0)   coin  coin steal       
  600   66100        (4,4,4)  attac spins goldS       
  601   66101        (1,1,5)  steal steal steal   3x  (triple: steal)
  602   66102        (0,0,0)   coin  coin  coin   3x  (triple: coin)
  603   66103        (3,7,8)  attac attac attac   3x  (triple: attack)
  604   66104        (0,0,0)  accum goldS goldS       
  605   66105        (0,0,0)  attac attac attac   3x  (triple: attack)
  606   66106        (1,8,8)  attac attac attac   3x  (triple: attack)
  607   66107        (6,6,6)  accum accum  coin       >>> MAX BET (6,6,6) <<<
                                                      --- gap 11: 101 spins ---
  608   66108        (1,1,0)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#11 SPN** (gap=101)
  609   66111        (4,4,5)   coin  coin steal       
  610   66113        (1,8,8)   coin steal spins       
  611   66114        (7,2,0)  accum accum  coin       
  612   66116        (3,3,8)  attac steal goldS       
  613   66120        (3,7,8)   coin steal spins       
  614   66122        (3,3,8)  attac steal goldS       
  615   66124        (0,0,0)  attac spins goldS       
  616   66126        (7,6,0)   coin steal spins       
  617   66127        (6,4,5)  attac spins goldS       
  618   66128        (6,6,5)   coin steal spins       
  619   66130        (3,7,3)   coin steal spins       
  620   66132        (6,4,1)  attac spins goldS       
  621   66133        (3,3,8)   coin steal spins       
  622   66135        (2,2,2)  attac attac goldS       
  623   66137        (4,4,4)  attac steal goldS       
  624   66140        (3,3,3)  attac  coin  coin       
  625   66141        (3,3,8)  goldS goldS goldS   3x  (triple: goldSack)
  626   66142        (1,8,8)  accum goldS goldS       
  627   66143        (0,0,0)  accum accum  coin       
  628   66146        (1,1,0)   coin  coin  coin   3x  (triple: coin)
  629   66147        (0,0,0)  attac  coin  coin       
  630   66148        (1,5,5)  attac attac attac   3x  (triple: attack)
  631   66151        (0,0,0)   coin steal steal       
  632   66154        (3,7,8)   coin steal steal       
  633   66155        (3,6,4)  accum goldS goldS       
  634   66157        (7,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  635   66159        (5,1,1)  goldS goldS goldS   3x  (triple: goldSack)
  636   66160        (7,6,4)   coin  coin  coin   3x  (triple: coin)
  637   66161        (3,6,4)  steal spins goldS       
  638   66163        (3,7,8)   coin  coin  coin   3x  (triple: coin)
  639   66164        (3,3,8)  accum goldS goldS       
  640   66165        (8,8,8)  accum goldS goldS       >>> MAX BET (8,8,8) <<<
                                                      --- gap 12: 32 spins ---
  641   66166        (5,0,0)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#12 ACC** (gap=32)
  642   66167        (3,6,4)  attac attac  coin       
  643   66170        (1,5,0)   coin  coin  coin   3x  (triple: coin)
  644   66172        (7,7,8)  attac attac  coin       
  645   66173        (7,6,4)  accum goldS goldS       
  646   66174        (3,7,8)  steal spins goldS       
  647   66176        (3,3,3)  steal spins goldS       
  648   66177        (5,8,8)  goldS goldS goldS   3x  (triple: goldSack)
  649   66179        (3,4,0)  goldS goldS goldS   3x  (triple: goldSack)
  650   66180        (7,7,8)  attac steal goldS       
  651   66181        (7,3,8)  accum goldS goldS       
  652   66182        (1,8,8)  accum goldS goldS       
  653   66183        (4,4,4)  accum accum  coin       
  654   66185        (7,6,4)  attac attac  coin       
  655   66186        (2,2,2)  steal spins goldS       
  656   66187        (7,3,2)  shiel shiel shiel   3x  (triple: shield)
  657   66188        (1,5,0)  shiel goldS goldS       
  658   66189        (2,2,2)  attac  coin  coin       
  659   66190        (4,4,1)  shiel shiel shiel   3x  (triple: shield)
  660   66191        (2,2,2)   coin steal steal       
  661   66192        (2,2,5)  shiel shiel shiel   3x  (triple: shield)
  662   66193        (7,7,8)   coin shiel shiel       
  663   66194        (7,3,8)  accum goldS goldS       
  664   66198        (4,4,4)  goldS goldS goldS   3x  (triple: goldSack)
  665   66199        (0,0,0)  steal steal steal   3x  (triple: steal)
  666   66201        (7,3,8)  attac spins goldS       
  667   66202        (5,1,0)  accum goldS goldS       
  668   66205        (7,2,0)  goldS goldS goldS   3x  (triple: goldSack)
  669   66206        (3,3,8)  attac shiel goldS       
  670   66207        (1,5,0)  accum goldS goldS       
  671   66212        (6,6,6)   coin spins spins       >>> MAX BET (6,6,6) <<<
                                                      --- gap 13: 30 spins ---
  672   66213        (3,4,0)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#13 SPN** (gap=30)
  673   66214        (7,3,8)  attac steal goldS       
  674   66216        (2,1,0)   coin  coin  coin   3x  (triple: coin)
  675   66217        (1,1,0)  attac  coin shiel       
  676   66218        (4,4,4)  attac  coin  coin       
  677   66219        (7,2,0)  steal steal steal   3x  (triple: steal)
  678   66221        (3,3,8)  steal spins goldS       
  679   66222        (1,8,8)  accum goldS goldS       
  680   66223        (1,8,8)  accum accum  coin       
  681   66224        (7,6,4)  accum accum  coin       
  682   66225        (0,0,0)  steal spins goldS       
  683   66226        (0,0,0)  attac attac attac   3x  (triple: attack)
  684   66227        (5,1,5)  attac attac attac   3x  (triple: attack)
  685   66229        (5,8,8)  steal spins goldS       
  686   66230        (3,3,3)  accum accum  coin       
  687   66232        (3,3,8)  attac attac  coin       
  688   66233        (6,6,6)  accum goldS goldS       >>> MAX BET (6,6,6) <<<
                                                      --- gap 14: 16 spins ---
  689   66234        (2,2,2)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#14 SPN** (gap=16)
  690   66236        (3,6,4)  attac  coin  coin       
  691   66237        (6,6,1)  steal spins goldS       
  692   66239        (7,0,0)  attac  coin  coin       
  693   66240        (3,7,8)  attac attac goldS       
  694   66241        (3,7,8)  accum goldS goldS       
  695   66242        (6,4,1)  accum goldS goldS       
  696   66245        (3,7,8)  attac  coin  coin       
  697   66252        (7,7,8)  attac  coin steal       
  698   66254        (1,1,0)  attac  coin  coin       
  699   66256        (5,8,8)  attac  coin steal       
  700   66258        (1,5,5)   coin steal steal       
  701   66260        (1,5,5)  steal spins goldS       
  702   66262        (7,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  703   66263        (3,3,8)  attac attac goldS       
  704   66265        (6,4,5)  steal spins goldS       
  705   66266        (2,2,2)   coin steal spins       
  706   66267        (0,0,0)  shiel shiel shiel   3x  (triple: shield)
  707   66268        (7,3,8)  attac attac attac   3x  (triple: attack)
  708   66269        (7,7,3)  accum goldS goldS       
  709   66270        (0,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  710   66271        (5,8,8)  attac attac attac   3x  (triple: attack)
  711   66272        (5,8,8)  accum accum  coin       
  712   66273        (4,4,4)  accum accum  coin       
  713   66274        (7,0,0)  steal steal steal   3x  (triple: steal)
  714   66275        (7,7,8)  attac attac goldS       
  715   66276        (0,0,0)  accum goldS goldS       
  716   66279        (3,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  717   66282        (3,3,8)   coin steal spins       
  718   66283        (1,8,8)  accum goldS goldS       
  719   66287        (4,4,4)   coin  coin  coin   3x  (triple: coin)
  720   66288        (2,2,2)  steal steal steal   3x  (triple: steal)
  721   66290        (7,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  722   66293        (7,6,4)  attac shiel goldS       
  723   66294        (4,1,0)  steal spins goldS       
  724   66295        (3,6,4)  attac  coin steal       
  725   66296        (8,8,8)  steal spins goldS       >>> MAX BET (8,8,8) <<<
                                                      --- gap 15: 36 spins ---
  726   66297        (3,7,8)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#15 ACC** (gap=36)
  727   66300        (4,4,5)   coin shiel shiel       
  728   66302        (3,6,4)   coin steal spins       
  729   66303        (4,1,0)  steal spins goldS       
  730   66304        (6,6,6)  attac  coin steal       >>> MAX BET (6,6,6) <<<
  731   66307        (2,2,2)  attac spins goldS       <-- NEXT SPIN AFTER SIGNAL
  732   66310        (4,4,1)  attac spins goldS       
  733   66311        (1,8,8)   coin steal steal       
  734   66312        (3,3,8)  accum accum  coin       
  735   66316        (0,0,0)  steal spins goldS       
  736   66317        (3,7,8)  attac attac attac   3x  (triple: attack)
  737   66319        (3,3,8)   coin  coin  coin   3x  (triple: coin)
  738   66320        (0,0,0)  accum goldS goldS       
  739   66321        (7,3,8)  attac attac attac   3x  (triple: attack)
  740   66323        (4,4,4)  attac  coin  coin       
  741   66324        (2,2,2)  steal steal steal   3x  (triple: steal)
  742   66325        (5,8,8)  shiel shiel shiel   3x  (triple: shield)
  743   66328        (3,7,8)  attac  coin  coin       
  744   66329        (4,1,0)  accum goldS goldS       
  745   66331        (3,7,8)  attac  coin  coin       
  746   66332        (0,0,0)  accum goldS goldS       
  747   66336        (7,3,2)  spins spins goldS       
  748   66337        (0,0,0)  shiel goldS goldS       
  749   66338        (7,7,3)  attac attac attac   3x  (triple: attack)
  750   66339        (3,7,7)  goldS goldS goldS   3x  (triple: goldSack)
  751   66343        (7,3,8)  attac  coin  coin       
  752   66347        (7,7,7)  attac attac goldS       
  753   66348        (1,5,0)  goldS goldS goldS   3x  (triple: goldSack)
  754   66349        (3,7,8)  attac  coin  coin       
  755   66350        (2,2,2)  accum goldS goldS       
  756   66351        (0,0,0)  shiel shiel shiel   3x  (triple: shield)
  757   66352        (7,2,0)  attac attac attac   3x  (triple: attack)
  758   66354        (7,0,0)   coin steal spins       
  759   66358        (5,1,1)   coin steal spins       
  760   66359        (3,8,8)   coin  coin  coin   3x  (triple: coin)
  761   66360        (4,5,1)  accum accum goldS       
  762   66361        (7,7,8)   coin  coin steal       
  763   66362        (2,2,2)  accum goldS goldS       
  764   66363        (0,0,0)  shiel shiel shiel   3x  (triple: shield)
  765   66364        (3,7,8)  attac attac attac   3x  (triple: attack)
  766   66366        (3,3,2)   coin  coin steal       
  767   66368        (7,0,0)   coin  coin  coin   3x  (triple: coin)
  768   66370        (2,2,2)   coin spins spins       
  769   66371        (7,3,8)  shiel shiel shiel   3x  (triple: shield)
  770   66372        (3,7,8)  accum goldS goldS       
  771   66373        (6,4,5)  accum goldS goldS       
  772   66374        (7,7,8)   coin steal spins       
  773   66377        (7,2,0)  attac shiel goldS       
  774   66378        (0,0,0)  attac shiel goldS       
  775   66379        (3,7,8)  attac attac attac   3x  (triple: attack)
  776   66380        (0,8,8)  accum goldS goldS       
  777   66381        (3,3,8)  accum accum attac       
  778   66383        (3,3,8)  goldS goldS goldS   3x  (triple: goldSack)
  779   66384        (3,7,8)  accum goldS goldS       
  780   66385        (5,5,0)  accum goldS goldS       
  781   66386        (7,7,8)  attac  coin  coin       
  782   66388        (6,6,6)  shiel shiel goldS       >>> MAX BET (6,6,6) <<<
                                                      --- gap 16: 56 spins ---
  783   66389        (6,6,5)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#16 SPN** (gap=56)
  784   66390        (6,4,5)   coin spins spins       
  785   66396        (6,4,1)  goldS goldS goldS   3x  (triple: goldSack)
  786   66397        (7,8,8)   coin steal spins       
  787   66400        (6,4,5)  attac  coin shiel       
  788   66402        (6,4,1)   coin  coin  coin   3x  (triple: coin)
  789   66403        (6,4,1)   coin steal spins       
  790   66404        (3,8,8)   coin steal spins       
  791   66405        (4,4,4)  accum accum goldS       
  792   66406        (3,0,0)  steal steal steal   3x  (triple: steal)
  793   66408        (3,7,8)  attac shiel goldS       
  794   66409        (4,4,4)  accum goldS goldS       
  795   66411        (7,4,4)  attac  coin shiel       
  796   66412        (3,3,7)  steal steal goldS       
  797   66415        (7,4,4)   coin steal spins       
  798   66416        (8,8,8)  steal steal goldS       >>> MAX BET (8,8,8) <<<
                                                      --- gap 17: 15 spins ---
  799   66417        (5,1,1)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#17 ACC** (gap=15)
  800   66420        (7,0,0)   coin steal spins       
  801   66421        (4,4,4)  attac attac goldS       
  802   66422        (5,1,0)  steal steal steal   3x  (triple: steal)
  803   66424        (3,3,8)   coin steal spins       
  804   66425        (7,3,8)  accum goldS goldS       
  805   66426        (0,8,8)  accum goldS goldS       
  806   66428        (0,0,0)  attac  coin  coin       
  807   66429        (3,2,0)  attac attac attac   3x  (triple: attack)
  808   66430        (0,0,0)  attac shiel goldS       
  809   66433        (7,8,8)  attac shiel goldS       
  810   66434        (6,6,5)  accum accum goldS       
  811   66435        (3,3,8)   coin spins spins       
  812   66436        (0,0,0)  accum goldS goldS       
  813   66437        (2,2,2)  attac attac attac   3x  (triple: attack)
  814   66439        (4,1,5)  attac  coin  coin       
  815   66440        (5,5,1)   coin  coin steal       
  816   66441        (3,6,0)   coin  coin  coin   3x  (triple: coin)
  817   66443        (1,1,1)  attac attac  coin       
  818   66444        (7,3,8)   coin  coin  coin   3x  (triple: coin)
  819   66445        (7,4,0)  accum goldS goldS       
  820   66446        (5,0,0)  attac steal goldS       
  821   66451        (7,7,3)  attac spins goldS       
  822   66452        (1,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  823   66453        (4,4,5)  attac attac  coin       
  824   66455        (3,4,0)   coin spins spins       
  825   66459        (4,4,4)   coin  coin  coin   3x  (triple: coin)
  826   66460        (6,4,1)  steal steal steal   3x  (triple: steal)
  827   66461        (2,2,2)   coin steal spins       
  828   66463        (7,6,0)  attac spins goldS       
  829   66464        (1,8,8)  attac spins goldS       
  830   66465        (0,0,0)  accum accum  coin       
  831   66466        (7,7,8)  attac attac attac   3x  (triple: attack)
  832   66467        (3,3,8)  accum goldS goldS       
  833   66469        (7,7,8)  attac spins goldS       
  834   66470        (4,5,5)  accum goldS goldS       
  835   66471        (6,6,6)   coin  coin steal       >>> MAX BET (6,6,6) <<<
                                                      --- gap 18: 36 spins ---
  836   66472        (1,8,8)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#18 SPN** (gap=36)
  837   66473        (3,3,8)  accum accum  coin       
  838   66474        (7,7,8)  accum goldS goldS       
  839   66475        (3,3,8)  accum goldS goldS       
  840   66476        (3,3,8)  accum goldS goldS       
  841   66479        (7,6,0)  attac spins goldS       
  842   66481        (7,3,8)  goldS goldS goldS   3x  (triple: goldSack)
  843   66482        (4,5,1)  accum goldS goldS       
  844   66483        (2,2,2)   coin  coin steal       
  845   66486        (2,2,2)  attac spins goldS       
  846   66488        (7,7,3)   coin  coin steal       
  847   66489        (2,2,1)  goldS goldS goldS   3x  (triple: goldSack)
  848   66490        (4,4,4)   coin shiel shiel       
  849   66491        (1,8,8)  steal steal steal   3x  (triple: steal)
  850   66492        (5,1,1)  accum accum  coin       
  851   66493        (7,7,8)   coin  coin  coin   3x  (triple: coin)
  852   66494        (1,8,8)  accum goldS goldS       
  853   66495        (0,0,0)  accum accum  coin       
  854   66499        (1,8,8)   coin  coin  coin   3x  (triple: coin)
  855   66500        (3,7,2)  accum accum  coin       
  856   66501        (7,7,8)  shiel goldS goldS       
  857   66503        (0,0,0)   coin steal steal       
  858   66504        (0,0,0)  attac attac attac   3x  (triple: attack)
  859   66508        (2,4,5)   coin  coin  coin   3x  (triple: coin)
  860   66509        (2,2,2)   coin steal shiel       
  861   66510        (3,3,8)  shiel shiel shiel   3x  (triple: shield)
  862   66511        (5,8,8)  accum goldS goldS       
  863   66514        (0,0,0)  attac spins goldS       
  864   66515        (3,3,8)  attac attac attac   3x  (triple: attack)
  865   66516        (2,4,5)  accum goldS goldS       
  866   66518        (3,6,0)  attac steal goldS       
  867   66520        (3,7,8)   coin  coin steal       
  868   66521        (8,8,8)  accum goldS goldS       >>> MAX BET (8,8,8) <<<
                                                      --- gap 19: 32 spins ---
  869   66522        (4,4,4)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#19 ACC** (gap=32)
  870   66525        (3,7,8)  attac steal goldS       
  871   66527        (2,2,2)   coin steal steal       
  872   66528        (3,6,0)  shiel shiel shiel   3x  (triple: shield)
  873   66529        (3,7,8)  attac spins goldS       
  874   66531        (4,5,5)   coin  coin  coin   3x  (triple: coin)
  875   66532        (0,0,0)   coin  coin steal       
  876   66533        (0,0,0)  attac attac attac   3x  (triple: attack)
  877   66534        (6,6,5)  attac attac attac   3x  (triple: attack)
  878   66536        (6,6,1)  attac attac goldS       
  879   66539        (2,5,0)   coin  coin steal       
  880   66541        (3,7,7)   coin  coin  coin   3x  (triple: coin)
  881   66542        (1,8,8)  goldS goldS goldS   3x  (triple: goldSack)
  882   66544        (0,0,0)  attac  coin  coin       
  883   66545        (6,6,6)  attac attac attac   3x  >>> MAX BET (6,6,6) <<<  (triple: attack)
                                                      --- gap 20: 14 spins ---
  884   66546        (0,0,0)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#20 SPN** (gap=14)
  885   66547        (0,0,0)  attac attac attac   3x  (triple: attack)
  886   66548        (1,8,8)  attac attac attac   3x  (triple: attack)
  887   66549        (7,7,8)  accum accum  coin       
  888   66551        (7,3,3)  shiel goldS goldS       
  889   66552        (0,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  890   66553        (5,5,0)  attac attac attac   3x  (triple: attack)
  891   66554        (3,3,8)  attac  coin  coin       
  892   66556        (4,4,4)  steal spins goldS       
  893   66557        (2,2,2)  steal steal steal   3x  (triple: steal)
  894   66558        (1,1,5)  shiel shiel shiel   3x  (triple: shield)
  895   66561        (5,5,0)  attac steal goldS       
  896   66562        (5,8,8)  attac  coin  coin       
  897   66564        (7,3,3)  steal spins goldS       
  898   66565        (7,6,4)  goldS goldS goldS   3x  (triple: goldSack)
  899   66566        (8,8,8)  steal spins goldS       >>> MAX BET (8,8,8) <<<
                                                      --- gap 21: 15 spins ---
  900   66567        (0,0,0)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#21 ACC** (gap=15)
  901   66572        (5,8,8)  steal spins goldS       
  902   66573        (7,3,8)  accum accum  coin       
  903   66576        (1,1,5)  attac attac goldS       
  904   66577        (6,4,5)   coin  coin  coin   3x  (triple: coin)
  905   66580        (7,0,0)  attac spins goldS       
  906   66582        (7,3,8)   coin steal spins       
  907   66584        (2,2,1)  goldS goldS goldS   3x  (triple: goldSack)
  908   66587        (3,3,8)  attac  coin shiel       
  909   66588        (5,8,8)  accum goldS goldS       
  910   66590        (3,6,0)  goldS goldS goldS   3x  (triple: goldSack)
  911   66591        (0,0,0)  attac spins goldS       
  912   66592        (7,3,8)  attac attac attac   3x  (triple: attack)
  913   66593        (6,6,5)  accum goldS goldS       
  914   66594        (7,0,0)   coin spins spins       
  915   66595        (1,8,8)  attac attac goldS       
  916   66596        (0,0,0)  accum accum  coin       
  917   66597        (6,1,1)  attac attac attac   3x  (triple: attack)
  918   66599        (6,4,1)   coin  coin  coin   3x  (triple: coin)
  919   66600        (3,7,8)   coin steal spins       
  920   66601        (3,4,0)  accum goldS goldS       
  921   66603        (4,4,4)   coin  coin  coin   3x  (triple: coin)
  922   66604        (5,8,8)  steal steal steal   3x  (triple: steal)
  923   66605        (6,1,5)  accum accum  coin       
  924   66608        (7,0,0)   coin spins spins       
  925   66609        (1,8,8)  attac attac goldS       
  926   66611        (3,7,8)  attac steal goldS       
  927   66613        (6,1,5)   coin  coin  coin   3x  (triple: coin)
  928   66614        (0,8,8)   coin  coin spins       
  929   66616        (3,3,8)   coin steal steal       
  930   66617        (3,3,8)  accum goldS goldS       
  931   66619        (0,0,0)   coin steal spins       
  932   66622        (0,0,0)  attac steal goldS       
  933   66623        (6,6,6)  attac attac attac   3x  >>> MAX BET (6,6,6) <<<  (triple: attack)
                                                      --- gap 22: 33 spins ---
  934   66624        (0,0,0)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#22 SPN** (gap=33)
  935   66626        (1,8,8)   coin  coin spins       
  936   66627        (4,4,4)  accum accum  coin       
  937   66631        (0,0,0)  attac attac goldS       
  938   66632        (3,4,0)  attac attac attac   3x  (triple: attack)
  939   66634        (8,8,8)   coin  coin  coin   3x  >>> MAX BET (8,8,8) <<<  (triple: coin)
                                                      --- gap 23: 5 spins ---
  940   66635        (6,4,5)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#23 ACC** (gap=5)
  941   66636        (3,4,0)   coin steal spins       
  942   66637        (0,0,0)  attac steal goldS       
  943   66640        (4,4,5)   coin  coin  coin   3x  (triple: coin)
  944   66643        (6,1,5)  goldS goldS goldS   3x  (triple: goldSack)
  945   66646        (7,7,8)  shiel goldS goldS       
  946   66647        (2,5,0)  accum goldS goldS       
  947   66651        (2,1,0)  attac attac goldS       
  948   66654        (2,2,2)   coin  coin  coin   3x  (triple: coin)
  949   66657        (7,7,8)  attac steal goldS       
  950   66658        (7,3,3)  accum goldS goldS       
  951   66659        (4,4,5)  goldS goldS goldS   3x  (triple: goldSack)
  952   66660        (1,1,5)   coin steal steal       
  953   66662        (3,3,8)  attac  coin shiel       
  954   66664        (4,4,4)   coin  coin spins       
  955   66666        (3,3,3)   coin shiel shiel       
  956   66667        (2,2,2)  goldS goldS goldS   3x  (triple: goldSack)
  957   66668        (6,5,1)  shiel shiel shiel   3x  (triple: shield)
  958   66670        (3,7,8)  attac steal goldS       
  959   66671        (6,1,5)  accum goldS goldS       
  960   66672        (7,7,8)   coin  coin spins       
  961   66673        (3,4,0)  accum goldS goldS       
  962   66674        (2,2,2)  attac steal goldS       
  963   66675        (7,4,0)  shiel shiel shiel   3x  (triple: shield)
  964   66676        (3,3,3)  attac steal goldS       
  965   66678        (3,3,7)  attac steal goldS       
  966   66679        (5,5,1)  goldS goldS goldS   3x  (triple: goldSack)
  967   66680        (3,3,8)   coin  coin  coin   3x  (triple: coin)
  968   66681        (3,7,8)  accum goldS goldS       
