seq,timestamp,session_date,gap_idx,spin_in_gap,prev_gap_length,prev_real_triple,bet_level,bet_mult,sa_spins,sa_acc,sa_spn,acc_rate,spn_rate,slope_8,slope_10,r01_combo,r02_ideal_ra,r03_ra_t130,r04_flat_150_32,r05_sml_l120_g32,r06_sml_l120_g30,r07_sml_s100_l120_m180,r08_sml_s100_l120_m110,r09_sml_s100_l130_m130,r10_sml_s50_l130_m150,r11_sml_s50_l130_s80,r12_shield_110,r13_shield_120,r14_shield_130,r15_shield_140,r16_flat_150_37,rules_count,rules_bitmask,phase,cooldown_remaining,consec_bets,gap_bets_so_far,is_triple,triple_type,target_caught,gae_segment,gae_grand_prize,gae_last_mission,accum_mission,accum_current,accum_total,accum_pct,accum_delta
59308,2026-04-08 04:07:12,2026-04-08,0,1,-1,,9,1,1,0,1,0.0000,1.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,47,24245,30000,80.82,0
59309,2026-04-08 04:07:29,2026-04-08,0,2,-1,shield,9,1,2,0,1,0.0000,0.5000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,shield,0,bonus_as10_gae1_no,700000,107,47,24245,30000,80.82,0
59310,2026-04-08 04:07:30,2026-04-08,0,3,-1,shield,9,1,3,0,1,0.0000,0.3333,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,47,24245,30000,80.82,0
59311,2026-04-08 04:07:31,2026-04-08,0,4,-1,shield,9,1,4,0,2,0.0000,0.5000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,47,24245,30000,80.82,0
59312,2026-04-08 04:07:32,2026-04-08,0,5,-1,spins,9,1,5,0,5,0.0000,1.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,spins,0,bonus_as10_gae1_no,700000,107,47,24245,30000,80.82,0
59313,2026-04-08 04:07:33,2026-04-08,0,6,-1,spins,9,1,6,0,5,0.0000,0.8333,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,47,24245,30000,80.82,0
59314,2026-04-08 04:07:34,2026-04-08,0,7,-1,spins,9,1,7,1,5,0.1429,0.7143,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,47,24246,30000,80.82,0
59315,2026-04-08 04:07:35,2026-04-08,0,8,-1,spins,9,1,8,1,6,0.1250,0.7500,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,47,24246,30000,80.82,0
59316,2026-04-08 04:07:36,2026-04-08,0,9,-1,spins,9,1,9,1,6,0.1111,0.6667,0.1111,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,47,24246,30000,80.82,0
59317,2026-04-08 04:07:37,2026-04-08,0,10,-1,spins,9,1,10,2,6,0.2000,0.6000,0.2000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,47,24247,30000,80.82,0
