sn,csv_seq,r1_idx,r2_idx,r3_idx,s1,s2,s3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,is_valuable,se_hash,bet_state
65424,65425,3,3,7,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65427,65428,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65430,65431,6,4,5,1,4,6,coin,steal,spins,gold,1,False,False,9b0002fd,3
65432,65433,6,6,6,6,6,6,spins,spins,spins,spins,5,True,True,9b0002fd,3
65433,65434,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65434,65435,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65435,65436,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65436,65437,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65438,65439,5,5,5,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65439,65440,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65440,65441,3,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65442,65443,4,1,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65444,65445,4,4,5,1,4,4,coin,steal,steal,gold,1,False,False,9b0002fd,3
65445,65446,4,4,5,1,4,4,coin,steal,steal,gold,1,False,False,9b0002fd,3
65446,65447,1,0,0,3,3,1,attack,attack,coin,gold,1,False,False,9b0002fd,3
65448,65449,7,6,4,4,6,2,steal,spins,goldSack,gold,1,False,False,9b0002fd,3
65449,65450,3,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65450,65451,7,3,7,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65452,65453,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65453,65454,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65455,65456,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65456,65457,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65457,65458,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65459,65460,3,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65461,65462,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65462,65463,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65463,65464,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65464,65465,7,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65465,65466,2,1,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65466,65467,3,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65468,65469,7,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65469,65470,4,5,1,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65471,65472,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65472,65473,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65474,65475,4,1,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65475,65476,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65476,65477,6,6,1,1,6,6,coin,spins,spins,gold,1,False,False,9b0002fd,3
65477,65478,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65478,65479,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65479,65480,4,1,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65480,65481,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
