feature,mean_importance
t,957.6666666666666
last_stl_triple_gap,807.5
last_shd_triple_gap,764.0
last_coin_triple_gap,744.0
last_atk_triple_gap,670.6666666666666
last_gs_triple_gap,645.3333333333334
vt_gap_lag1,529.0
vt_gap_mean3,408.6666666666667
spn_gap_lag3,389.6666666666667
spn_gap_lag2,369.0
spn_gap_lag4,364.3333333333333
spn_gap_std3,361.0
vt_gap_lag4,360.6666666666667
cum_any_triples,360.6666666666667
acc_gap_lag3,354.5
acc_gap_std3,353.5
vt_gap_lag2,352.1666666666667
acc_gap_mean3,340.1666666666667
acc_gap_lag4,339.5
acc_gap_lag2,336.8333333333333
vt_gap_std3,323.1666666666667
vt_gap_lag3,312.3333333333333
spn_gap_lag1,309.3333333333333
cooldown_age,307.6666666666667
acc_gap_lag1,287.3333333333333
spn_gap_mean3,277.8333333333333
cum_gs_triple,217.33333333333334
cum_coin_triple,207.16666666666666
cum_atk_triples,180.16666666666666
cur_cat_id,162.33333333333334
last_any_triple_gap,146.16666666666666
cat_lag2,127.16666666666667
density_any_last10,123.66666666666667
cum_shd_triples,116.0
cat_lag1,112.33333333333333
cat_lag3,111.83333333333333
cum_stl_triples,93.16666666666667
cooldown_last10,85.5
density_any_last5,58.5
pvt_ACC,42.333333333333336
cooldown_last5,37.833333333333336
pvt_SPN,20.166666666666668
last_real_triple_gap,19.0
reel_dup_last,9.333333333333334
reel_dup_streak,3.5
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
