cycle_id,account,session_id,cycle_start_seq,cycle_end_seq,cycle_end_symbol,seq,t,spins_to_vt,prev_vt_type,cum_any_triples,cum_acc_triples,cum_spn_triples,cum_atk_triples,cum_shd_triples,cum_stl_triples,cum_coin_triple,cum_gs_triple,last_any_triple_gap,last_real_triple_gap,last_acc_triple_gap,last_spn_triple_gap,last_atk_triple_gap,last_shd_triple_gap,last_stl_triple_gap,last_coin_triple_gap,last_gs_triple_gap,cooldown_age,density_any_last5,density_any_last10,cooldown_last5,cooldown_last10,reel_dup_last,reel_dup_streak,cur_cat_id,cat_lag1,cat_lag2,cat_lag3,y_any_next3,y_acc_next3,y_spn_next3,y_any_next5,y_acc_next5,y_spn_next5,y_any_next10,y_acc_next10,y_spn_next10,acc_gap_lag1,acc_gap_lag2,acc_gap_lag3,acc_gap_lag4,spn_gap_lag1,spn_gap_lag2,spn_gap_lag3,spn_gap_lag4,vt_gap_lag1,vt_gap_lag2,vt_gap_lag3,vt_gap_lag4,acc_gap_mean3,acc_gap_std3,spn_gap_mean3,spn_gap_std3,vt_gap_mean3,vt_gap_std3,pvt_ACC,pvt_SPN
1324,Nick,Nick|spin_history_Nick_2026-04-20.csv,80169,80188,SPN,80181,12,7,ACC,2,0,0,0,1,0,0,1,1.0,1.0,,,,8.0,,,1.0,8.0,1,2,0,1,1,1,6,6,13,12,0,0,0,0,0,0,1,0,1,123.0,30.0,84.0,146.0,87.0,183.0,100.0,45.0,49.0,74.0,13.0,17.0,79.0,38.13135192987524,123.33333333333333,42.52319628417203,45.333333333333336,25.037749277618563,True,False
1324,Nick,Nick|spin_history_Nick_2026-04-20.csv,80169,80188,SPN,80182,13,6,ACC,3,0,0,0,1,0,0,2,1.0,1.0,,,,9.0,,,1.0,9.0,2,3,0,1,0,0,13,6,6,13,0,0,0,0,0,0,1,0,1,123.0,30.0,84.0,146.0,87.0,183.0,100.0,45.0,49.0,74.0,13.0,17.0,79.0,38.13135192987524,123.33333333333333,42.52319628417203,45.333333333333336,25.037749277618563,True,False
1324,Nick,Nick|spin_history_Nick_2026-04-20.csv,80169,80188,SPN,80183,14,5,ACC,3,0,0,0,1,0,0,2,2.0,2.0,,,,10.0,,,2.0,10.0,2,3,0,1,0,0,7,13,6,6,0,0,0,1,0,1,1,0,1,123.0,30.0,84.0,146.0,87.0,183.0,100.0,45.0,49.0,74.0,13.0,17.0,79.0,38.13135192987524,123.33333333333333,42.52319628417203,45.333333333333336,25.037749277618563,True,False
1324,Nick,Nick|spin_history_Nick_2026-04-20.csv,80169,80188,SPN,80184,15,4,ACC,3,0,0,0,1,0,0,2,3.0,3.0,,,,11.0,,,3.0,11.0,2,2,0,0,0,0,2,7,13,6,0,0,0,1,0,1,1,0,1,123.0,30.0,84.0,146.0,87.0,183.0,100.0,45.0,49.0,74.0,13.0,17.0,79.0,38.13135192987524,123.33333333333333,42.52319628417203,45.333333333333336,25.037749277618563,True,False
1324,Nick,Nick|spin_history_Nick_2026-04-20.csv,80169,80188,SPN,80185,16,3,ACC,4,0,0,1,1,0,0,2,1.0,1.0,,,1.0,12.0,,,4.0,1.0,3,3,1,1,0,0,14,2,7,13,1,0,1,1,0,1,1,0,1,123.0,30.0,84.0,146.0,87.0,183.0,100.0,45.0,49.0,74.0,13.0,17.0,79.0,38.13135192987524,123.33333333333333,42.52319628417203,45.333333333333336,25.037749277618563,True,False
1324,Nick,Nick|spin_history_Nick_2026-04-20.csv,80169,80188,SPN,80186,17,2,ACC,4,0,0,1,1,0,0,2,2.0,2.0,,,2.0,13.0,,,5.0,2.0,2,3,1,1,0,0,12,14,2,7,1,0,1,1,0,1,1,0,1,123.0,30.0,84.0,146.0,87.0,183.0,100.0,45.0,49.0,74.0,13.0,17.0,79.0,38.13135192987524,123.33333333333333,42.52319628417203,45.333333333333336,25.037749277618563,True,False
1324,Nick,Nick|spin_history_Nick_2026-04-20.csv,80169,80188,SPN,80187,18,1,ACC,4,0,0,1,1,0,0,2,3.0,3.0,,,3.0,14.0,,,6.0,3.0,1,3,1,1,1,1,12,12,14,2,1,0,1,1,0,1,1,0,1,123.0,30.0,84.0,146.0,87.0,183.0,100.0,45.0,49.0,74.0,13.0,17.0,79.0,38.13135192987524,123.33333333333333,42.52319628417203,45.333333333333336,25.037749277618563,True,False
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80189,0,114,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,13,-1,-1,-1,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80190,1,113,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,1,13,13,-1,-1,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80191,2,112,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,7,13,13,-1,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80192,3,111,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,14,7,13,13,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80193,4,110,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,2,14,7,13,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
