feature,mean_importance
t,1194.1666666666667
last_stl_triple_gap,763.8333333333334
last_shd_triple_gap,751.1666666666666
last_atk_triple_gap,676.3333333333334
last_gs_triple_gap,604.5
last_coin_triple_gap,537.3333333333334
vt_gap_lag1,461.0
vt_gap_lag3,408.1666666666667
cum_any_triples,381.1666666666667
acc_gap_mean3,371.8333333333333
vt_gap_mean3,367.3333333333333
acc_gap_lag3,367.3333333333333
acc_gap_lag4,363.5
vt_gap_std3,348.5
acc_gap_std3,346.3333333333333
spn_gap_lag4,341.3333333333333
spn_gap_std3,338.6666666666667
vt_gap_lag4,334.8333333333333
vt_gap_lag2,333.1666666666667
spn_gap_mean3,332.8333333333333
acc_gap_lag2,328.8333333333333
spn_gap_lag1,312.6666666666667
acc_gap_lag1,308.3333333333333
spn_gap_lag2,307.8333333333333
spn_gap_lag3,302.3333333333333
cooldown_age,260.8333333333333
cum_gs_triple,245.16666666666666
cum_coin_triple,234.5
cum_atk_triples,216.66666666666666
cur_cat_id,156.16666666666666
density_any_last10,148.33333333333334
cum_stl_triples,144.33333333333334
cum_shd_triples,141.33333333333334
cat_lag2,136.33333333333334
pvt_ACC,129.33333333333334
last_any_triple_gap,109.5
cat_lag3,107.5
cooldown_last10,92.5
cat_lag1,79.5
density_any_last5,36.833333333333336
pvt_SPN,28.333333333333332
cooldown_last5,25.833333333333332
last_real_triple_gap,13.833333333333334
reel_dup_last,7.833333333333333
reel_dup_streak,2.0
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
