feature,mean_importance
t,1060.0
last_stl_triple_gap,685.3333333333334
last_shd_triple_gap,676.3333333333334
vt_gap_lag1,596.0
last_coin_triple_gap,575.8333333333334
last_atk_triple_gap,524.5
last_gs_triple_gap,504.1666666666667
vt_gap_mean3,469.0
spn_gap_lag3,427.5
spn_gap_std3,426.3333333333333
spn_gap_lag4,416.1666666666667
acc_gap_lag4,409.0
vt_gap_lag2,408.8333333333333
cum_any_triples,407.8333333333333
vt_gap_lag4,387.5
spn_gap_lag2,384.6666666666667
vt_gap_lag3,381.8333333333333
acc_gap_lag3,378.0
vt_gap_std3,373.8333333333333
acc_gap_mean3,362.6666666666667
acc_gap_lag2,358.8333333333333
spn_gap_lag1,352.5
acc_gap_std3,343.5
acc_gap_lag1,334.3333333333333
spn_gap_mean3,308.0
cum_gs_triple,280.3333333333333
cum_coin_triple,260.0
cum_atk_triples,236.83333333333334
cooldown_age,189.0
cum_shd_triples,154.5
cum_stl_triples,119.16666666666667
cur_cat_id,110.66666666666667
density_any_last10,89.66666666666667
last_any_triple_gap,88.0
cat_lag2,68.83333333333333
cooldown_last10,66.83333333333333
cat_lag1,63.166666666666664
pvt_ACC,60.0
cat_lag3,60.0
density_any_last5,32.5
pvt_SPN,27.166666666666668
cooldown_last5,23.5
last_real_triple_gap,15.0
reel_dup_last,2.0
reel_dup_streak,0.3333333333333333
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
