================================================================================
CHUNK 2: SYMBOL COUNTER SWEEPS
================================================================================

======================================== ACC (178 gaps) ========================================

--- ACC: Each sa_* counter as rate gate (threshold=130) ---
     counter    gate   caught     bet%    mb/hit    lift
   sa_3x_atk          1   31/178    2.93%      17.1    5.93x
   sa_3x_atk          2   31/178    2.93%      17.1    5.93x
   sa_3x_atk          3   31/178    2.93%      17.1    5.93x
   sa_3x_atk          4   31/178    2.93%      17.1    5.93x
   sa_3x_atk          5   30/178    2.92%      17.6    5.78x
   sa_3x_atk          6   30/178    2.92%      17.6    5.78x
   sa_3x_atk          7   28/178    2.84%      18.3    5.54x
   sa_3x_atk          8   26/178    2.59%      18.0    5.65x
   sa_3x_atk          9   23/178    2.44%      19.1    5.30x
   sa_3x_atk         10   21/178    2.23%      19.2    5.29x
   sa_3x_atk         11   13/178    1.90%      26.5    3.83x
   sa_3x_atk         12   11/178    1.58%      25.9    3.92x
   sa_3x_atk         13    9/178    1.12%      22.6    4.50x
   sa_3x_atk         14    5/178    0.92%      33.2    3.06x
   sa_3x_atk         15    3/178    0.87%      52.7    1.93x
   sa_3x_stl          0   31/178    2.93%      17.1    5.93x
   sa_3x_stl          1   31/178    2.93%      17.1    5.93x
   sa_3x_stl          2   31/178    2.93%      17.1    5.93x
   sa_3x_stl          3   30/178    2.91%      17.5    5.79x
   sa_3x_stl          4   28/178    2.78%      17.9    5.66x
   sa_3x_stl          5   22/178    2.12%      17.4    5.84x
   sa_3x_stl          6    9/178    1.36%      27.3    3.71x
   sa_3x_stl          7    5/178    0.71%      25.6    3.96x
   sa_3x_stl          8    3/178    0.65%      39.3    2.58x
   sa_3x_shd          0   31/178    2.93%      17.1    5.93x
   sa_3x_shd          1   31/178    2.93%      17.1    5.93x
   sa_3x_shd          2   31/178    2.93%      17.1    5.93x
   sa_3x_shd          3   31/178    2.93%      17.1    5.93x
   sa_3x_shd          4   30/178    2.90%      17.4    5.82x
   sa_3x_shd          5   30/178    2.88%      17.4    5.84x
   sa_3x_shd          6   23/178    2.28%      17.9    5.68x
   sa_3x_shd          7   16/178    1.94%      21.9    4.63x
   sa_3x_shd          8    9/178    1.37%      27.4    3.70x
