GAP_COMPARISON: +/- 20 vs +/- 30 WINDOW
Format: [Gap #] | Result_20 | Bets_20 | Result_30 | Bets_30
[acc] Gap #093 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #094 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #095 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #096 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #097 | FAIL  |   0 MB | FAIL  |  24 MB
[acc] Gap #098 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #099 | FAIL  |  19 MB | FAIL  |  19 MB
[acc] Gap #100 | FAIL  |   0 MB | CATCH |   5 MB
[acc] Gap #101 | FAIL  |  43 MB | FAIL  |  43 MB
[acc] Gap #102 | FAIL  |  36 MB | FAIL  |  36 MB
[acc] Gap #103 | FAIL  |  34 MB | FAIL  |  34 MB
[acc] Gap #104 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #105 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #106 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #107 | FAIL  |  28 MB | FAIL  |  28 MB
[acc] Gap #108 | FAIL  |  30 MB | FAIL  |  40 MB
[acc] Gap #109 | FAIL  |  26 MB | FAIL  |  26 MB
[acc] Gap #110 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #111 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #112 | FAIL  |   0 MB | FAIL  |  41 MB
[acc] Gap #113 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #114 | FAIL  | 101 MB | FAIL  | 101 MB
[acc] Gap #115 | FAIL  | 104 MB | FAIL  | 104 MB
[acc] Gap #116 | FAIL  | 199 MB | FAIL  | 199 MB
[acc] Gap #117 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #118 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #119 | FAIL  |  42 MB | FAIL  |  42 MB
[acc] Gap #120 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #004 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #005 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #006 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #007 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #008 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #009 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #010 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #011 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #012 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #013 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #014 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #015 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #016 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #017 | FAIL  |   7 MB | FAIL  |   7 MB
[spi] Gap #018 | FAIL  |   0 MB | CATCH |   6 MB
[spi] Gap #019 | FAIL  |  79 MB | FAIL  |  79 MB
[spi] Gap #020 | CATCH |   4 MB | FAIL  |  27 MB
[spi] Gap #021 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #022 | FAIL  |  14 MB | FAIL  |  14 MB
[spi] Gap #023 | FAIL  |   7 MB | FAIL  |   7 MB
[spi] Gap #024 | FAIL  |  47 MB | FAIL  |  47 MB
[spi] Gap #025 | CATCH |   7 MB | CATCH |   7 MB
[spi] Gap #026 | FAIL  |  13 MB | FAIL  |  13 MB
[spi] Gap #027 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #028 | FAIL  |  30 MB | FAIL  |  37 MB
[spi] Gap #029 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #030 | CATCH |   4 MB | CATCH |   4 MB
[spi] Gap #031 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #032 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #033 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #034 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #035 | FAIL  |  12 MB | FAIL  |  14 MB
[spi] Gap #036 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #037 | CATCH |   8 MB | FAIL  |  23 MB
[spi] Gap #038 | FAIL  |  27 MB | FAIL  |  27 MB
[spi] Gap #039 | FAIL  |  18 MB | FAIL  |  18 MB
[spi] Gap #040 | FAIL  |  77 MB | FAIL  |  82 MB
[spi] Gap #041 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #042 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #043 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #044 | FAIL  |  12 MB | FAIL  |  12 MB
[spi] Gap #045 | FAIL  |  18 MB | FAIL  |  18 MB
[spi] Gap #046 | FAIL  |  21 MB | FAIL  |  26 MB
[spi] Gap #047 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #048 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #049 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #050 | FAIL  |  24 MB | FAIL  |  35 MB
[spi] Gap #051 | FAIL  |  63 MB | FAIL  |  63 MB
[spi] Gap #052 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #053 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #054 | CATCH |   5 MB | CATCH |   5 MB
[spi] Gap #055 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #056 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #057 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #058 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #059 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #060 | FAIL  |  24 MB | FAIL  |  24 MB
[spi] Gap #061 | CATCH |   3 MB | CATCH |   3 MB
[spi] Gap #062 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #063 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #064 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #065 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #066 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #067 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #068 | FAIL  |  27 MB | FAIL  |  27 MB
[spi] Gap #069 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #070 | FAIL  |  24 MB | FAIL  |  28 MB
[spi] Gap #071 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #072 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #073 | FAIL  |  23 MB | FAIL  |  23 MB
[spi] Gap #074 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #075 | CATCH |   2 MB | CATCH |   2 MB
[spi] Gap #076 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #077 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #078 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #079 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #080 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #081 | CATCH |   3 MB | CATCH |   3 MB
[spi] Gap #082 | CATCH |   8 MB | CATCH |   8 MB
[spi] Gap #083 | FAIL  |   9 MB | FAIL  |   9 MB
[spi] Gap #084 | FAIL  |  39 MB | FAIL  |  38 MB
[spi] Gap #085 | FAIL  |  13 MB | FAIL  |  21 MB
[spi] Gap #086 | FAIL  |  14 MB | FAIL  |  14 MB
[spi] Gap #087 | FAIL  |  16 MB | FAIL  |  25 MB
[spi] Gap #088 | FAIL  |  49 MB | FAIL  |  49 MB
[spi] Gap #089 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #090 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #091 | CATCH |   3 MB | CATCH |   3 MB
[spi] Gap #092 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #093 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #094 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #095 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #096 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #097 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #098 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #099 | FAIL  |  16 MB | FAIL  |  18 MB
[spi] Gap #100 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #101 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #102 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #103 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #104 | FAIL  |  10 MB | FAIL  |  24 MB
[spi] Gap #105 | FAIL  |  20 MB | FAIL  |  20 MB
[spi] Gap #106 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #107 | FAIL  |   9 MB | FAIL  |  10 MB
[spi] Gap #108 | FAIL  |  17 MB | FAIL  |  22 MB
[spi] Gap #109 | FAIL  |   0 MB | FAIL  |  12 MB
[spi] Gap #110 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #111 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #112 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #113 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #114 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #115 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #116 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #117 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #118 | CATCH |   6 MB | FAIL  |  23 MB
[spi] Gap #119 | FAIL  |  34 MB | FAIL  |  41 MB
[spi] Gap #120 | FAIL  |  22 MB | FAIL  |  22 MB
[spi] Gap #121 | CATCH |   5 MB | FAIL  |   9 MB
[spi] Gap #122 | CATCH |   1 MB | CATCH |   1 MB
[spi] Gap #123 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #124 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #125 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #126 | FAIL  |  22 MB | FAIL  |  22 MB
[spi] Gap #127 | FAIL  |  14 MB | FAIL  |  14 MB
[spi] Gap #128 | FAIL  |  13 MB | FAIL  |  32 MB
[spi] Gap #129 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #130 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #131 | FAIL  |  40 MB | FAIL  |  40 MB
[spi] Gap #132 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #133 | FAIL  |   0 MB | CATCH |   4 MB
[spi] Gap #134 | FAIL  |  73 MB | FAIL  |  73 MB
[spi] Gap #135 | FAIL  |   8 MB | FAIL  |   8 MB
[spi] Gap #136 | FAIL  |  70 MB | FAIL  |  70 MB
[spi] Gap #137 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #138 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #139 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #140 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #141 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #142 | FAIL  |   0 MB | FAIL  |   0 MB
