================================================================================
CHUNK 3: S/M/L MEGA SWEEP
================================================================================
ACC gaps with known prev: 175 / 178
Baseline (130/0.30) on gaps-with-prev: caught= 31/175  bet= 2.96%  mb/hit=  17.1  lift= 5.99x

--- Part A: Flat configs on gaps-with-prev (for fair comparison) ---
              config   caught     bet%    mb/hit    lift
       flat_150/0.32    7/175    0.26%       6.7   15.24x
       flat_130/0.32   14/175    0.85%      10.9    9.36x
       flat_140/0.32    8/175    0.51%      11.5    8.90x
       flat_120/0.32   16/175    1.26%      14.1    7.25x
       flat_130/0.34    5/175    0.40%      14.4    7.11x
       flat_120/0.34    6/175    0.52%      15.5    6.60x
       flat_110/0.34    9/175    0.78%      15.6    6.58x
       flat_110/0.32   20/175    1.80%      16.1    6.36x
       flat_150/0.30   18/175    1.69%      16.8    6.08x
       flat_130/0.30   31/175    2.96%      17.1    5.99x
       flat_100/0.34   12/175    1.16%      17.3    5.90x
       flat_140/0.30   20/175    2.19%      19.6    5.21x
       flat_100/0.32   24/175    2.66%      19.8    5.16x
       flat_120/0.30   37/175    4.14%      20.1    5.10x
       flat_180/0.30    7/175    0.87%      22.3    4.59x
       flat_110/0.30   43/175    5.48%      22.8    4.48x
       flat_160/0.30   10/175    1.28%      22.9    4.47x
       flat_170/0.30    8/175    1.03%      23.0    4.45x
        flat_90/0.34   12/175    1.55%      23.1    4.43x
       flat_130/0.28   47/175    6.25%      23.8    4.30x

--- Part B: S/M/L sweep (boundaries x thresholds x gate) ---
Total configs evaluated: 341,220
Configs with >= 5 catches: 322,544

--- Top 80 by lift ---
  S<  L>=    t_S    t_M    t_L  gate   caught     bet%    mb/hit    lift
  70  150    150    180    110  0.32    6/175    0.10%       3.0   34.11x
  70  150    150    180    120  0.32    5/175    0.08%       3.0   34.11x
  70  150    150    180    130  0.32    5/175    0.08%       3.0   34.11x
  70  160    150    180    110  0.32    6/175    0.10%       3.0   34.11x
  70  160    150    180    120  0.32    5/175    0.08%       3.0   34.11x
  70  160    150    180    130  0.32    5/175    0.08%       3.0   34.11x
  70  170    150    180    110  0.32    6/175    0.10%       3.0   34.11x
  70  170    150    180    120  0.32    5/175    0.08%       3.0   34.11x
  70  170    150    180    130  0.32    5/175    0.08%       3.0   34.11x

--- Top 50 by mb/hit (min 10 catches) ---
  S<  L>=    t_S    t_M    t_L  gate   caught     bet%    mb/hit    lift
  90  120    150    180    130  0.32   10/175    0.20%       3.5   29.24x
  90  120    150    160    130  0.32   10/175    0.21%       3.8   26.93x
 100  120    150    180    130  0.32   12/175    0.26%       3.8   26.70x
 100  120    150    160    130  0.32   12/175    0.27%       4.1   25.06x
 100  130    150    180    110  0.32   10/175    0.25%       4.5   22.74x
 100  140    150    180    110  0.32   10/175    0.25%       4.5   22.74x
 100  130    150    160    110  0.32   10/175    0.27%       4.8   21.32x
 100  140    150    160    110  0.32   10/175    0.27%       4.8   21.32x
 100  120    150    110    130  0.32   13/175    0.35%       4.8   21.12x
  60  130    150    180    100  0.32   10/175    0.27%       4.9   20.89x
  60  140    150    180    100  0.32   10/175    0.27%       4.9   20.89x
  70  130    150    180    100  0.32   10/175    0.27%       4.9   20.89x
  70  140    150    180    100  0.32   10/175    0.27%       4.9   20.89x
  80  130    150    180    100  0.32   10/175    0.27%       4.9   20.89x
  80  140    150    180    100  0.32   10/175    0.27%       4.9   20.89x
  50  120    150    150    130  0.32   12/175    0.33%       4.9   20.81x
  60  120    150    150    130  0.32   12/175    0.33%       4.9   20.81x
  70  120    150    150    130  0.32   12/175    0.33%       4.9   20.81x
  80  120    150    150    130  0.32   12/175    0.33%       4.9   20.81x
  90  120    150    150    130  0.32   12/175    0.33%       4.9   20.81x
 100  120    150    150    130  0.32   12/175    0.33%       4.9   20.81x
 100  150    150    130    110  0.32   13/175    0.36%       5.0   20.47x
 100  160    150    130    110  0.32   13/175    0.36%       5.0   20.47x
 100  170    150    130    110  0.32   13/175    0.36%       5.0   20.47x
  90  100    150    160    130  0.32   10/175    0.28%       5.1   20.07x
  90  100    150    180    130  0.32   10/175    0.28%       5.1   20.07x
  90  110    150    160    130  0.32   10/175    0.28%       5.1   20.07x
  90  110    150    180    130  0.32   10/175    0.28%       5.1   20.07x
  50  100    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  50  110    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  60  100    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  60  110    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  70  100    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  70  110    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  80  100    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  80  110    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  90  100    150    150    130  0.32   12/175    0.35%       5.2   19.81x
  90  110    150    150    130  0.32   12/175    0.35%       5.2   19.81x
 100  110    150    100    130  0.32   12/175    0.35%       5.2   19.81x
 100  110    150    110    130  0.32   12/175    0.35%       5.2   19.81x
 100  110    150    120    130  0.32   12/175    0.35%       5.2   19.81x
 100  110    150    130    130  0.32   12/175    0.35%       5.2   19.81x
