acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Islam,1,107,55,1070,28,50,1,48@15 7@50
Islam,1,108,173,52615,83,1500,3,51@15 51@50 52@400 19@1500
Islam,1,109,126,15785,64,400,2,59@15 34@50 33@400
Islam,1,110,77,2380,38,50,1,42@15 35@50
Islam,1,111,137,19520,63,400,2,38@15 59@50 40@400
Islam,1,112,280,742670,164,6000,4,58@15 34@50 54@400 19@1500 115@6000
Islam,1,113,292,733475,139,6000,4,55@15 57@50 32@400 38@1500 110@6000
Islam,1,114,443,1704135,247,6000,4,39@15 57@50 48@400 25@1500 274@6000
Islam,1,115,70,1435,34,50,1,59@15 11@50
Islam,1,116,166,26955,74,400,2,47@15 61@50 58@400
Ahmed,0,117,132,14335,64,400,2,59@15 45@50 28@400
Ahmed,0,118,29,435,18,15,0,29@15
Ahmed,0,119,11,165,9,15,0,11@15
Ahmed,0,120,55,825,23,15,0,55@15
Ahmed,0,121,120,15240,66,400,2,36@15 54@50 30@400
Ahmed,0,122,135,11195,52,400,2,53@15 64@50 18@400
Ahmed,0,123,125,10100,57,400,2,60@15 48@50 17@400
Ahmed,0,124,10,150,5,15,0,10@15
Ahmed,0,125,250,446895,113,6000,4,43@15 57@50 51@400 38@1500 61@6000
Ahmed,0,126,57,1555,36,50,1,37@15 20@50
Ahmed,0,127,13,195,8,15,0,13@15
Ahmed,0,128,127,9640,60,400,2,66@15 45@50 16@400
Ahmed,0,129,78,2605,42,50,1,37@15 41@50
Ahmed,0,130,59,885,22,15,0,59@15
Ahmed,0,131,153,35045,77,1500,3,33@15 51@50 65@400 4@1500
Ahmed,0,132,117,10750,57,400,2,50@15 48@50 19@400
Ahmed,0,133,154,41670,77,1500,3,38@15 56@50 47@400 13@1500
Ahmed,0,134,54,1125,27,50,1,45@15 9@50
Ahmed,0,135,133,22400,65,400,2,30@15 55@50 48@400
Ahmed,0,136,90,4325,53,400,2,35@15 52@50 3@400
Ahmed,0,137,119,13685,64,400,2,49@15 43@50 27@400
Ahmed,0,138,110,3295,43,50,1,63@15 47@50
Ahmed,0,139,37,590,26,50,1,36@15 1@50
Ahmed,0,140,158,30115,76,1500,3,41@15 62@50 51@400 4@1500
Ahmed,0,141,102,7060,57,400,2,34@15 59@50 9@400
Ahmed,0,142,111,5655,51,400,2,57@15 48@50 6@400
Ahmed,0,143,59,1165,26,50,1,51@15 8@50
Ahmed,0,144,147,40955,84,1500,3,37@15 48@50 50@400 12@1500
Ahmed,0,145,69,1630,28,50,1,52@15 17@50
Ahmed,0,146,127,17690,69,400,2,36@15 55@50 36@400
Ahmed,0,147,49,735,23,15,0,49@15
Ahmed,0,148,117,5430,50,400,2,42@15 72@50 3@400
Ahmed,0,149,48,1210,33,50,1,34@15 14@50
Ahmed,0,150,151,50285,84,1500,3,39@15 52@50 39@400 21@1500
Ahmed,0,151,128,8535,59,400,2,49@15 68@50 11@400
Ahmed,0,152,42,630,22,15,0,42@15
Ahmed,0,153,170,35380,81,1500,3,62@15 47@50 54@400 7@1500
Ahmed,0,154,49,980,31,50,1,42@15 7@50
Ahmed,0,155,101,3125,43,50,1,55@15 46@50
Ahmed,0,156,123,21235,66,400,2,29@15 48@50 46@400
Ahmed,0,157,40,600,12,15,0,40@15
Ahmed,0,158,108,9285,58,400,2,59@15 32@50 17@400
Ahmed,0,159,141,16080,60,400,2,62@15 47@50 32@400
