acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Ahmed,1,100,94,2950,41,50,1,50@15 44@50
Ahmed,1,101,142,22535,72,400,2,39@15 55@50 48@400
Ahmed,1,102,53,1110,30,50,1,44@15 9@50
Ahmed,1,103,163,53210,84,1500,3,34@15 66@50 41@400 22@1500
Ahmed,1,104,97,2715,45,50,1,61@15 36@50
Ahmed,1,105,46,725,25,50,1,45@15 1@50
Ahmed,1,106,181,68895,88,1500,3,63@15 35@50 53@400 30@1500
Ahmed,1,107,16,240,12,15,0,16@15
Ahmed,1,108,101,3335,42,50,1,49@15 52@50
Ahmed,1,109,101,8550,60,400,2,40@15 47@50 14@400
Ahmed,1,110,153,25430,73,400,2,42@15 56@50 55@400
Ahmed,1,111,69,2225,40,50,1,35@15 34@50
Ahmed,1,112,69,1280,29,50,1,62@15 7@50
Ahmed,1,113,162,31555,77,1500,3,47@15 59@50 51@400 5@1500
Ahmed,1,114,44,975,27,50,1,35@15 9@50
Ahmed,1,115,118,7965,60,400,2,61@15 45@50 12@400
Ahmed,1,116,149,30180,77,1500,3,42@15 63@50 36@400 8@1500
Ahmed,1,117,110,6130,52,400,2,62@15 40@50 8@400
Ahmed,1,118,84,1960,39,50,1,64@15 20@50
Ahmed,1,119,40,600,22,15,0,40@15
Ahmed,1,120,158,44960,82,1500,3,44@15 54@50 44@400 16@1500
Ahmed,1,121,52,780,22,15,0,52@15
Ahmed,1,122,114,8850,59,400,2,50@15 50@50 14@400
Ahmed,1,123,86,2480,39,50,1,52@15 34@50
Ahmed,1,124,99,7015,54,400,2,41@15 48@50 10@400
